"schema_version","study","scenario","rep","n","n_test","q","d","m","data_seed","calibration_seed","file","bytes","md5","generator_tag","design_fingerprint"
"1.1.0","study2","latent_additive_control",1,120,1000,4,2,4,1010001,1010002,"study2_latent_additive_control_q4_n120_ntest1000_m4_rep001.rds",46672,"de1aa342a3e5976cfedf16ccc928fb5d","study2-synthetic-shared-state-v2","b36a2b7373115d36c32b6378586a3e46"
"1.1.0","study2","latent_additive_control",2,120,1000,4,2,4,1020001,1020002,"study2_latent_additive_control_q4_n120_ntest1000_m4_rep002.rds",47484,"8760b5967946864e3b56b9ad373f49d8","study2-synthetic-shared-state-v2","b36a2b7373115d36c32b6378586a3e46"
"1.1.0","study2","latent_additive_control",3,120,1000,4,2,4,1030001,1030002,"study2_latent_additive_control_q4_n120_ntest1000_m4_rep003.rds",47448,"37e22c9df91b8c3040952ac2ac15ab21","study2-synthetic-shared-state-v2","b36a2b7373115d36c32b6378586a3e46"
"1.1.0","study2","latent_additive_control",4,120,1000,4,2,4,1040001,1040002,"study2_latent_additive_control_q4_n120_ntest1000_m4_rep004.rds",47372,"c298003d6144813ea7809d7422b4f77a","study2-synthetic-shared-state-v2","b36a2b7373115d36c32b6378586a3e46"
"1.1.0","study2","latent_additive_control",5,120,1000,4,2,4,1050001,1050002,"study2_latent_additive_control_q4_n120_ntest1000_m4_rep005.rds",47452,"9cf49526511c1cd17e374b8b270bbe5d","study2-synthetic-shared-state-v2","b36a2b7373115d36c32b6378586a3e46"
"1.1.0","study2","latent_additive_control",6,120,1000,4,2,4,1060001,1060002,"study2_latent_additive_control_q4_n120_ntest1000_m4_rep006.rds",46760,"bf9df0ea27d449dc44a2badd434252a0","study2-synthetic-shared-state-v2","b36a2b7373115d36c32b6378586a3e46"
"1.1.0","study2","latent_additive_control",7,120,1000,4,2,4,1070001,1070002,"study2_latent_additive_control_q4_n120_ntest1000_m4_rep007.rds",47460,"592ea4367768c19279580dd8d9d4f271","study2-synthetic-shared-state-v2","b36a2b7373115d36c32b6378586a3e46"
"1.1.0","study2","latent_additive_control",8,120,1000,4,2,4,1080001,1080002,"study2_latent_additive_control_q4_n120_ntest1000_m4_rep008.rds",47456,"77bdfc2f19ab83d01beab8ee089ba591","study2-synthetic-shared-state-v2","b36a2b7373115d36c32b6378586a3e46"
"1.1.0","study2","latent_additive_control",9,120,1000,4,2,4,1090001,1090002,"study2_latent_additive_control_q4_n120_ntest1000_m4_rep009.rds",47452,"4dc4df63d5b3ebe5bdf727bfbeb1bebd","study2-synthetic-shared-state-v2","b36a2b7373115d36c32b6378586a3e46"
"1.1.0","study2","latent_additive_control",10,120,1000,4,2,4,1100001,1100002,"study2_latent_additive_control_q4_n120_ntest1000_m4_rep010.rds",47380,"78b5e7c8a312776412f5ef42ba73097c","study2-synthetic-shared-state-v2","b36a2b7373115d36c32b6378586a3e46"
