"schema_version","study","scenario","rep","n","n_test","q","d","m","data_seed","calibration_seed","file","bytes","md5","generator_tag","design_fingerprint"
"1.1.0","study2","high_uncertainty",1,120,1000,4,2,4,1010001,1010002,"study2_high_uncertainty_q4_n120_ntest1000_m4_rep001.rds",47356,"9379f8ad02da04f292daf083f2578f0b","study2-synthetic-shared-state-v2","31012fc361600eb3ed02e6b2d57efd2a"
"1.1.0","study2","high_uncertainty",2,120,1000,4,2,4,1020001,1020002,"study2_high_uncertainty_q4_n120_ntest1000_m4_rep002.rds",47484,"ca35c04aa1d911db3a9cd681eec92d7e","study2-synthetic-shared-state-v2","31012fc361600eb3ed02e6b2d57efd2a"
"1.1.0","study2","high_uncertainty",3,120,1000,4,2,4,1030001,1030002,"study2_high_uncertainty_q4_n120_ntest1000_m4_rep003.rds",47436,"1f5bf8286ab4d2b61ca2304d8ebc4a76","study2-synthetic-shared-state-v2","31012fc361600eb3ed02e6b2d57efd2a"
"1.1.0","study2","high_uncertainty",4,120,1000,4,2,4,1040001,1040002,"study2_high_uncertainty_q4_n120_ntest1000_m4_rep004.rds",47392,"32ab7187e0f387d54e1d0a546e8c02d0","study2-synthetic-shared-state-v2","31012fc361600eb3ed02e6b2d57efd2a"
"1.1.0","study2","high_uncertainty",5,120,1000,4,2,4,1050001,1050002,"study2_high_uncertainty_q4_n120_ntest1000_m4_rep005.rds",46852,"8019fc26c6ba2fc2385331a07f04da77","study2-synthetic-shared-state-v2","31012fc361600eb3ed02e6b2d57efd2a"
"1.1.0","study2","high_uncertainty",6,120,1000,4,2,4,1060001,1060002,"study2_high_uncertainty_q4_n120_ntest1000_m4_rep006.rds",47488,"d7fddda7214385917767d1d8722beebc","study2-synthetic-shared-state-v2","31012fc361600eb3ed02e6b2d57efd2a"
"1.1.0","study2","high_uncertainty",7,120,1000,4,2,4,1070001,1070002,"study2_high_uncertainty_q4_n120_ntest1000_m4_rep007.rds",47400,"457b1111c17f87e33e7a08ff78f44ab3","study2-synthetic-shared-state-v2","31012fc361600eb3ed02e6b2d57efd2a"
"1.1.0","study2","high_uncertainty",8,120,1000,4,2,4,1080001,1080002,"study2_high_uncertainty_q4_n120_ntest1000_m4_rep008.rds",47404,"36ed0e8eab046a87fc687dbb5b87a0a0","study2-synthetic-shared-state-v2","31012fc361600eb3ed02e6b2d57efd2a"
"1.1.0","study2","high_uncertainty",9,120,1000,4,2,4,1090001,1090002,"study2_high_uncertainty_q4_n120_ntest1000_m4_rep009.rds",47476,"408c2a3954d46158d3355f5aecc4a7a6","study2-synthetic-shared-state-v2","31012fc361600eb3ed02e6b2d57efd2a"
"1.1.0","study2","high_uncertainty",10,120,1000,4,2,4,1100001,1100002,"study2_high_uncertainty_q4_n120_ntest1000_m4_rep010.rds",47372,"034f54008bcbdf19e789210c2db0c249","study2-synthetic-shared-state-v2","31012fc361600eb3ed02e6b2d57efd2a"
"1.1.0","study2","high_uncertainty",11,120,1000,4,2,4,1110001,1110002,"study2_high_uncertainty_q4_n120_ntest1000_m4_rep011.rds",47408,"67fb1d184872dde56461120ae9651818","study2-synthetic-shared-state-v2","31012fc361600eb3ed02e6b2d57efd2a"
