"schema_version","study","scenario","rep","n","n_test","q","d","m","data_seed","calibration_seed","file","bytes","md5","generator_tag","design_fingerprint"
"1.1.0","study2","logistic_misspec",1,120,1000,4,2,4,1010001,1010002,"study2_logistic_misspec_q4_n120_ntest1000_m4_rep001.rds",47360,"c5d0534ba0bd3a358fde98ae1ae03702","study2-synthetic-shared-state-v2","799d9ed9398fac7c0103a53ad06463eb"
"1.1.0","study2","logistic_misspec",2,120,1000,4,2,4,1020001,1020002,"study2_logistic_misspec_q4_n120_ntest1000_m4_rep002.rds",47460,"7b762593afb91bb0602e0d068cdb9437","study2-synthetic-shared-state-v2","799d9ed9398fac7c0103a53ad06463eb"
"1.1.0","study2","logistic_misspec",3,120,1000,4,2,4,1030001,1030002,"study2_logistic_misspec_q4_n120_ntest1000_m4_rep003.rds",47436,"d27d0ec1f880d60051f0acc06b1be22d","study2-synthetic-shared-state-v2","799d9ed9398fac7c0103a53ad06463eb"
"1.1.0","study2","logistic_misspec",4,120,1000,4,2,4,1040001,1040002,"study2_logistic_misspec_q4_n120_ntest1000_m4_rep004.rds",47236,"de78c90a78bfefa84cb1d1bf60464fa0","study2-synthetic-shared-state-v2","799d9ed9398fac7c0103a53ad06463eb"
"1.1.0","study2","logistic_misspec",5,120,1000,4,2,4,1050001,1050002,"study2_logistic_misspec_q4_n120_ntest1000_m4_rep005.rds",47480,"af700bb4025b0c3841b3c66ddefde888","study2-synthetic-shared-state-v2","799d9ed9398fac7c0103a53ad06463eb"
"1.1.0","study2","logistic_misspec",6,120,1000,4,2,4,1060001,1060002,"study2_logistic_misspec_q4_n120_ntest1000_m4_rep006.rds",47452,"906a0839028357ae8cede44c9070c623","study2-synthetic-shared-state-v2","799d9ed9398fac7c0103a53ad06463eb"
"1.1.0","study2","logistic_misspec",7,120,1000,4,2,4,1070001,1070002,"study2_logistic_misspec_q4_n120_ntest1000_m4_rep007.rds",47416,"60b426e5893259977024198911e87ed7","study2-synthetic-shared-state-v2","799d9ed9398fac7c0103a53ad06463eb"
"1.1.0","study2","logistic_misspec",8,120,1000,4,2,4,1080001,1080002,"study2_logistic_misspec_q4_n120_ntest1000_m4_rep008.rds",47392,"72ea7f73bf3fa612befe952db5788388","study2-synthetic-shared-state-v2","799d9ed9398fac7c0103a53ad06463eb"
"1.1.0","study2","logistic_misspec",9,120,1000,4,2,4,1090001,1090002,"study2_logistic_misspec_q4_n120_ntest1000_m4_rep009.rds",47464,"2ae3fef28708ab555d0f124c46dd7d52","study2-synthetic-shared-state-v2","799d9ed9398fac7c0103a53ad06463eb"
"1.1.0","study2","logistic_misspec",10,120,1000,4,2,4,1100001,1100002,"study2_logistic_misspec_q4_n120_ntest1000_m4_rep010.rds",47348,"a6cb841d04425306e639dc2c25b505e2","study2-synthetic-shared-state-v2","799d9ed9398fac7c0103a53ad06463eb"
