"schema_version","study","scenario","rep","n","n_test","q","d","m","data_seed","calibration_seed","file","bytes","md5","generator_tag","design_fingerprint"
"1.1.0","study2","primary",1,120,1000,3,2,4,1010001,1010002,"study2_primary_q3_n120_ntest1000_m4_rep001.rds",46220,"625ce47b7e0155324cc6c8b4a659f2ba","study2-synthetic-shared-state-v2","f4bcd5676c444f71fb9e77d91507c12f"
"1.1.0","study2","primary",2,120,1000,3,2,4,1020001,1020002,"study2_primary_q3_n120_ntest1000_m4_rep002.rds",47108,"a23ed3021eaad6cbf262c76898274b65","study2-synthetic-shared-state-v2","f4bcd5676c444f71fb9e77d91507c12f"
"1.1.0","study2","primary",3,120,1000,3,2,4,1030001,1030002,"study2_primary_q3_n120_ntest1000_m4_rep003.rds",47104,"9a950f5f7e9b20fc077f3f9bea4819d1","study2-synthetic-shared-state-v2","f4bcd5676c444f71fb9e77d91507c12f"
"1.1.0","study2","primary",4,120,1000,3,2,4,1040001,1040002,"study2_primary_q3_n120_ntest1000_m4_rep004.rds",46864,"2d98c5f7b69474703539579fb85d6692","study2-synthetic-shared-state-v2","f4bcd5676c444f71fb9e77d91507c12f"
"1.1.0","study2","primary",5,120,1000,3,2,4,1050001,1050002,"study2_primary_q3_n120_ntest1000_m4_rep005.rds",46296,"559c294711a1f6d10eb74d27128c0f76","study2-synthetic-shared-state-v2","f4bcd5676c444f71fb9e77d91507c12f"
"1.1.0","study2","primary",6,120,1000,3,2,4,1060001,1060002,"study2_primary_q3_n120_ntest1000_m4_rep006.rds",46328,"35f22ea8bc821254e1f699703da73dbc","study2-synthetic-shared-state-v2","f4bcd5676c444f71fb9e77d91507c12f"
"1.1.0","study2","primary",7,120,1000,3,2,4,1070001,1070002,"study2_primary_q3_n120_ntest1000_m4_rep007.rds",47048,"cea9f52a5975cedc60dff7c3b1601ce6","study2-synthetic-shared-state-v2","f4bcd5676c444f71fb9e77d91507c12f"
"1.1.0","study2","primary",8,120,1000,3,2,4,1080001,1080002,"study2_primary_q3_n120_ntest1000_m4_rep008.rds",46300,"911951fff02ead7caefc1d116d441a01","study2-synthetic-shared-state-v2","f4bcd5676c444f71fb9e77d91507c12f"
"1.1.0","study2","primary",9,120,1000,3,2,4,1090001,1090002,"study2_primary_q3_n120_ntest1000_m4_rep009.rds",47024,"23408a4f29431b504c6d136a1538c214","study2-synthetic-shared-state-v2","f4bcd5676c444f71fb9e77d91507c12f"
"1.1.0","study2","primary",10,120,1000,3,2,4,1100001,1100002,"study2_primary_q3_n120_ntest1000_m4_rep010.rds",46992,"7372787fa13d3926d9bf05885bdfd48e","study2-synthetic-shared-state-v2","f4bcd5676c444f71fb9e77d91507c12f"
"1.1.0","study2","primary",11,120,1000,3,2,4,1110001,1110002,"study2_primary_q3_n120_ntest1000_m4_rep011.rds",47028,"b91f5bb9fedde80f5a6abe53547a1d71","study2-synthetic-shared-state-v2","f4bcd5676c444f71fb9e77d91507c12f"
"1.1.0","study2","primary",12,120,1000,3,2,4,1120001,1120002,"study2_primary_q3_n120_ntest1000_m4_rep012.rds",46348,"f08d9377bf038ee1ff8a373ebb841308","study2-synthetic-shared-state-v2","f4bcd5676c444f71fb9e77d91507c12f"
"1.1.0","study2","primary",13,120,1000,3,2,4,1130001,1130002,"study2_primary_q3_n120_ntest1000_m4_rep013.rds",46272,"6a2128737c83b94279f8ad7d49d7cd4d","study2-synthetic-shared-state-v2","f4bcd5676c444f71fb9e77d91507c12f"
"1.1.0","study2","primary",14,120,1000,3,2,4,1140001,1140002,"study2_primary_q3_n120_ntest1000_m4_rep014.rds",47044,"c1af49bb66a5028a98f36d1d3fcf16b4","study2-synthetic-shared-state-v2","f4bcd5676c444f71fb9e77d91507c12f"
"1.1.0","study2","primary",15,120,1000,3,2,4,1150001,1150002,"study2_primary_q3_n120_ntest1000_m4_rep015.rds",46300,"b2e980f1bb608c51ac31803982af1a70","study2-synthetic-shared-state-v2","f4bcd5676c444f71fb9e77d91507c12f"
"1.1.0","study2","primary",16,120,1000,3,2,4,1160001,1160002,"study2_primary_q3_n120_ntest1000_m4_rep016.rds",46924,"656f6a7d9df566a69e4a07b13df8567b","study2-synthetic-shared-state-v2","f4bcd5676c444f71fb9e77d91507c12f"
"1.1.0","study2","primary",17,120,1000,3,2,4,1170001,1170002,"study2_primary_q3_n120_ntest1000_m4_rep017.rds",47012,"8bbeb2274044c282bd905b7e8cbf490f","study2-synthetic-shared-state-v2","f4bcd5676c444f71fb9e77d91507c12f"
"1.1.0","study2","primary",18,120,1000,3,2,4,1180001,1180002,"study2_primary_q3_n120_ntest1000_m4_rep018.rds",47084,"c65b2421e3950873fc39c365958b9493","study2-synthetic-shared-state-v2","f4bcd5676c444f71fb9e77d91507c12f"
"1.1.0","study2","primary",19,120,1000,3,2,4,1190001,1190002,"study2_primary_q3_n120_ntest1000_m4_rep019.rds",46392,"9a5b7dcfa79db0b7f6126ae1990bc37d","study2-synthetic-shared-state-v2","f4bcd5676c444f71fb9e77d91507c12f"
"1.1.0","study2","primary",20,120,1000,3,2,4,1200001,1200002,"study2_primary_q3_n120_ntest1000_m4_rep020.rds",47016,"3a46cb7ba6fd697af7ff575987b7af15","study2-synthetic-shared-state-v2","f4bcd5676c444f71fb9e77d91507c12f"
"1.1.0","study2","primary",21,120,1000,3,2,4,1210001,1210002,"study2_primary_q3_n120_ntest1000_m4_rep021.rds",47096,"18ae4ce1b3b75aaa0e8fe8a409ac40e9","study2-synthetic-shared-state-v2","f4bcd5676c444f71fb9e77d91507c12f"
"1.1.0","study2","primary",22,120,1000,3,2,4,1220001,1220002,"study2_primary_q3_n120_ntest1000_m4_rep022.rds",47008,"5eb588f170af5dfdf76be4882d49e9a5","study2-synthetic-shared-state-v2","f4bcd5676c444f71fb9e77d91507c12f"
"1.1.0","study2","primary",23,120,1000,3,2,4,1230001,1230002,"study2_primary_q3_n120_ntest1000_m4_rep023.rds",47020,"3f161353c5869d187c41d304a777cc8d","study2-synthetic-shared-state-v2","f4bcd5676c444f71fb9e77d91507c12f"
"1.1.0","study2","primary",24,120,1000,3,2,4,1240001,1240002,"study2_primary_q3_n120_ntest1000_m4_rep024.rds",47044,"bf92df28fc8a2b3e8a7c40dcb678e392","study2-synthetic-shared-state-v2","f4bcd5676c444f71fb9e77d91507c12f"
"1.1.0","study2","primary",25,120,1000,3,2,4,1250001,1250002,"study2_primary_q3_n120_ntest1000_m4_rep025.rds",47028,"b47afb768c7447fa01d879548d323054","study2-synthetic-shared-state-v2","f4bcd5676c444f71fb9e77d91507c12f"
"1.1.0","study2","primary",26,120,1000,3,2,4,1260001,1260002,"study2_primary_q3_n120_ntest1000_m4_rep026.rds",47036,"a7999443894d94cc84759ea7a591eb61","study2-synthetic-shared-state-v2","f4bcd5676c444f71fb9e77d91507c12f"
"1.1.0","study2","primary",27,120,1000,3,2,4,1270001,1270002,"study2_primary_q3_n120_ntest1000_m4_rep027.rds",47060,"bef3f32b9998413b7dfffd44cd673a17","study2-synthetic-shared-state-v2","f4bcd5676c444f71fb9e77d91507c12f"
"1.1.0","study2","primary",28,120,1000,3,2,4,1280001,1280002,"study2_primary_q3_n120_ntest1000_m4_rep028.rds",47060,"91276c56940f8dec46ef4e1caea24c34","study2-synthetic-shared-state-v2","f4bcd5676c444f71fb9e77d91507c12f"
"1.1.0","study2","primary",29,120,1000,3,2,4,1290001,1290002,"study2_primary_q3_n120_ntest1000_m4_rep029.rds",47048,"ddf88995cf0e136d6838ed429484384c","study2-synthetic-shared-state-v2","f4bcd5676c444f71fb9e77d91507c12f"
"1.1.0","study2","primary",30,120,1000,3,2,4,1300001,1300002,"study2_primary_q3_n120_ntest1000_m4_rep030.rds",47036,"60bb7a97e798c4d25a37eafd954aaa51","study2-synthetic-shared-state-v2","f4bcd5676c444f71fb9e77d91507c12f"
"1.1.0","study2","primary",31,120,1000,3,2,4,1310001,1310002,"study2_primary_q3_n120_ntest1000_m4_rep031.rds",47116,"9e637c1b371c2332152bb74438f343b2","study2-synthetic-shared-state-v2","f4bcd5676c444f71fb9e77d91507c12f"
