"schema_version","study","scenario","rep","n","n_test","q","d","m","data_seed","calibration_seed","file","bytes","md5","generator_tag","design_fingerprint"
"1.1.0","study2","primary",1,120,1000,4,2,4,1010001,1010002,"study2_primary_q4_n120_ntest1000_m4_rep001.rds",46660,"91ef3f7b3a6f39b621c4c20623d61651","study2-synthetic-shared-state-v2","ac1d6f3b9d4dcbecbe58514e6df8adff"
"1.1.0","study2","primary",2,120,1000,4,2,4,1020001,1020002,"study2_primary_q4_n120_ntest1000_m4_rep002.rds",47560,"7ef134d23918762a539ddd41bf01ea21","study2-synthetic-shared-state-v2","ac1d6f3b9d4dcbecbe58514e6df8adff"
"1.1.0","study2","primary",3,120,1000,4,2,4,1030001,1030002,"study2_primary_q4_n120_ntest1000_m4_rep003.rds",47552,"c7faa1e01748bcb3224649a6a5e26ffa","study2-synthetic-shared-state-v2","ac1d6f3b9d4dcbecbe58514e6df8adff"
"1.1.0","study2","primary",4,120,1000,4,2,4,1040001,1040002,"study2_primary_q4_n120_ntest1000_m4_rep004.rds",47452,"5ab67cf95732e8895696fddf060e8a7a","study2-synthetic-shared-state-v2","ac1d6f3b9d4dcbecbe58514e6df8adff"
"1.1.0","study2","primary",5,120,1000,4,2,4,1050001,1050002,"study2_primary_q4_n120_ntest1000_m4_rep005.rds",46740,"b052daed11649554b1dfcace23b0c425","study2-synthetic-shared-state-v2","ac1d6f3b9d4dcbecbe58514e6df8adff"
"1.1.0","study2","primary",6,120,1000,4,2,4,1060001,1060002,"study2_primary_q4_n120_ntest1000_m4_rep006.rds",46760,"d55e8e45d37d556f3d7fc3618c9ac731","study2-synthetic-shared-state-v2","ac1d6f3b9d4dcbecbe58514e6df8adff"
"1.1.0","study2","primary",7,120,1000,4,2,4,1070001,1070002,"study2_primary_q4_n120_ntest1000_m4_rep007.rds",47148,"de3184a815104b3073f753d72a996b0e","study2-synthetic-shared-state-v2","ac1d6f3b9d4dcbecbe58514e6df8adff"
"1.1.0","study2","primary",8,120,1000,4,2,4,1080001,1080002,"study2_primary_q4_n120_ntest1000_m4_rep008.rds",47464,"2171279ab0b99450b51bca8ada7b1f8f","study2-synthetic-shared-state-v2","ac1d6f3b9d4dcbecbe58514e6df8adff"
"1.1.0","study2","primary",9,120,1000,4,2,4,1090001,1090002,"study2_primary_q4_n120_ntest1000_m4_rep009.rds",47552,"b2d903f1b3547385cb664117be8dd003","study2-synthetic-shared-state-v2","ac1d6f3b9d4dcbecbe58514e6df8adff"
"1.1.0","study2","primary",10,120,1000,4,2,4,1100001,1100002,"study2_primary_q4_n120_ntest1000_m4_rep010.rds",47512,"ce265890b8b20f8447b5574fb3ba6df7","study2-synthetic-shared-state-v2","ac1d6f3b9d4dcbecbe58514e6df8adff"
"1.1.0","study2","primary",11,120,1000,4,2,4,1110001,1110002,"study2_primary_q4_n120_ntest1000_m4_rep011.rds",46708,"6e91adb0197d899e4e8ca4ad3cfeafa3","study2-synthetic-shared-state-v2","ac1d6f3b9d4dcbecbe58514e6df8adff"
"1.1.0","study2","primary",12,120,1000,4,2,4,1120001,1120002,"study2_primary_q4_n120_ntest1000_m4_rep012.rds",46776,"9b1fa5279275d8508d0f619754377f63","study2-synthetic-shared-state-v2","ac1d6f3b9d4dcbecbe58514e6df8adff"
"1.1.0","study2","primary",13,120,1000,4,2,4,1130001,1130002,"study2_primary_q4_n120_ntest1000_m4_rep013.rds",47524,"5a1b0feb196979ada2a59a7abcffa22a","study2-synthetic-shared-state-v2","ac1d6f3b9d4dcbecbe58514e6df8adff"
"1.1.0","study2","primary",14,120,1000,4,2,4,1140001,1140002,"study2_primary_q4_n120_ntest1000_m4_rep014.rds",47436,"ec38f3427e28f12daa2635fd7e56fdf9","study2-synthetic-shared-state-v2","ac1d6f3b9d4dcbecbe58514e6df8adff"
"1.1.0","study2","primary",15,120,1000,4,2,4,1150001,1150002,"study2_primary_q4_n120_ntest1000_m4_rep015.rds",46740,"cc75c5b304fe395ef2db46f330a30eef","study2-synthetic-shared-state-v2","ac1d6f3b9d4dcbecbe58514e6df8adff"
"1.1.0","study2","primary",16,120,1000,4,2,4,1160001,1160002,"study2_primary_q4_n120_ntest1000_m4_rep016.rds",47392,"7b76be4d3eb5df5807abd9c3689d74cb","study2-synthetic-shared-state-v2","ac1d6f3b9d4dcbecbe58514e6df8adff"
"1.1.0","study2","primary",17,120,1000,4,2,4,1170001,1170002,"study2_primary_q4_n120_ntest1000_m4_rep017.rds",47460,"944a6223feee3caa841e0e33d3a2c341","study2-synthetic-shared-state-v2","ac1d6f3b9d4dcbecbe58514e6df8adff"
"1.1.0","study2","primary",18,120,1000,4,2,4,1180001,1180002,"study2_primary_q4_n120_ntest1000_m4_rep018.rds",47540,"30c15cc27ee4dbf2303cb60556c2cd76","study2-synthetic-shared-state-v2","ac1d6f3b9d4dcbecbe58514e6df8adff"
"1.1.0","study2","primary",19,120,1000,4,2,4,1190001,1190002,"study2_primary_q4_n120_ntest1000_m4_rep019.rds",47572,"1c92a81e3b49eb3caddb4f94e57f7210","study2-synthetic-shared-state-v2","ac1d6f3b9d4dcbecbe58514e6df8adff"
"1.1.0","study2","primary",20,120,1000,4,2,4,1200001,1200002,"study2_primary_q4_n120_ntest1000_m4_rep020.rds",47400,"fc8ac2faf817c67697f818ed0a7b4e03","study2-synthetic-shared-state-v2","ac1d6f3b9d4dcbecbe58514e6df8adff"
"1.1.0","study2","primary",21,120,1000,4,2,4,1210001,1210002,"study2_primary_q4_n120_ntest1000_m4_rep021.rds",47540,"f29044711a616558abd7c3af64961372","study2-synthetic-shared-state-v2","ac1d6f3b9d4dcbecbe58514e6df8adff"
"1.1.0","study2","primary",22,120,1000,4,2,4,1220001,1220002,"study2_primary_q4_n120_ntest1000_m4_rep022.rds",46628,"e676e2009551b53934461517ca37469d","study2-synthetic-shared-state-v2","ac1d6f3b9d4dcbecbe58514e6df8adff"
"1.1.0","study2","primary",23,120,1000,4,2,4,1230001,1230002,"study2_primary_q4_n120_ntest1000_m4_rep023.rds",47460,"26609de1aa8f916cf9278e590937cf55","study2-synthetic-shared-state-v2","ac1d6f3b9d4dcbecbe58514e6df8adff"
"1.1.0","study2","primary",24,120,1000,4,2,4,1240001,1240002,"study2_primary_q4_n120_ntest1000_m4_rep024.rds",47484,"1889eb18e27d3ae4efa9cb79d5cfb85b","study2-synthetic-shared-state-v2","ac1d6f3b9d4dcbecbe58514e6df8adff"
"1.1.0","study2","primary",25,120,1000,4,2,4,1250001,1250002,"study2_primary_q4_n120_ntest1000_m4_rep025.rds",47492,"a21f1430d067655d263a43ef8db2879c","study2-synthetic-shared-state-v2","ac1d6f3b9d4dcbecbe58514e6df8adff"
"1.1.0","study2","primary",26,120,1000,4,2,4,1260001,1260002,"study2_primary_q4_n120_ntest1000_m4_rep026.rds",47524,"8a6e644ef9b6e865531cfd9bdb0b50b0","study2-synthetic-shared-state-v2","ac1d6f3b9d4dcbecbe58514e6df8adff"
"1.1.0","study2","primary",27,120,1000,4,2,4,1270001,1270002,"study2_primary_q4_n120_ntest1000_m4_rep027.rds",47496,"6692fca42de442f5c35cc4858c37b071","study2-synthetic-shared-state-v2","ac1d6f3b9d4dcbecbe58514e6df8adff"
"1.1.0","study2","primary",28,120,1000,4,2,4,1280001,1280002,"study2_primary_q4_n120_ntest1000_m4_rep028.rds",47528,"c89cfeace993f0d17e6152f66f982708","study2-synthetic-shared-state-v2","ac1d6f3b9d4dcbecbe58514e6df8adff"
"1.1.0","study2","primary",29,120,1000,4,2,4,1290001,1290002,"study2_primary_q4_n120_ntest1000_m4_rep029.rds",47480,"1cad84e3b8da074814fff66757f3ad18","study2-synthetic-shared-state-v2","ac1d6f3b9d4dcbecbe58514e6df8adff"
"1.1.0","study2","primary",30,120,1000,4,2,4,1300001,1300002,"study2_primary_q4_n120_ntest1000_m4_rep030.rds",47484,"c68663e66458a80a2dfe418995046f99","study2-synthetic-shared-state-v2","ac1d6f3b9d4dcbecbe58514e6df8adff"
"1.1.0","study2","primary",31,120,1000,4,2,4,1310001,1310002,"study2_primary_q4_n120_ntest1000_m4_rep031.rds",47576,"af3cae99fd4e2fc90ae8ba0429fe52d4","study2-synthetic-shared-state-v2","ac1d6f3b9d4dcbecbe58514e6df8adff"
"1.1.0","study2","primary",32,120,1000,4,2,4,1320001,1320002,"study2_primary_q4_n120_ntest1000_m4_rep032.rds",46680,"d69a0b942782e23c36bff4f9a3e7c837","study2-synthetic-shared-state-v2","ac1d6f3b9d4dcbecbe58514e6df8adff"
"1.1.0","study2","primary",33,120,1000,4,2,4,1330001,1330002,"study2_primary_q4_n120_ntest1000_m4_rep033.rds",47544,"c1c95d441a66289a8656d9523ddcec9f","study2-synthetic-shared-state-v2","ac1d6f3b9d4dcbecbe58514e6df8adff"
"1.1.0","study2","primary",34,120,1000,4,2,4,1340001,1340002,"study2_primary_q4_n120_ntest1000_m4_rep034.rds",47516,"14cefb01fb49496c09c130e654a2c98d","study2-synthetic-shared-state-v2","ac1d6f3b9d4dcbecbe58514e6df8adff"
"1.1.0","study2","primary",35,120,1000,4,2,4,1350001,1350002,"study2_primary_q4_n120_ntest1000_m4_rep035.rds",47520,"fcbf203715a590a1ecabfab8d4eb29a0","study2-synthetic-shared-state-v2","ac1d6f3b9d4dcbecbe58514e6df8adff"
"1.1.0","study2","primary",36,120,1000,4,2,4,1360001,1360002,"study2_primary_q4_n120_ntest1000_m4_rep036.rds",47524,"8273269ddc03fe149d329566c72c3b5a","study2-synthetic-shared-state-v2","ac1d6f3b9d4dcbecbe58514e6df8adff"
"1.1.0","study2","primary",37,120,1000,4,2,4,1370001,1370002,"study2_primary_q4_n120_ntest1000_m4_rep037.rds",47500,"6eea7105a25315415a8ebb0ae734beb5","study2-synthetic-shared-state-v2","ac1d6f3b9d4dcbecbe58514e6df8adff"
"1.1.0","study2","primary",38,120,1000,4,2,4,1380001,1380002,"study2_primary_q4_n120_ntest1000_m4_rep038.rds",47508,"a0dc8aa3e9970a1c253063eafcaba745","study2-synthetic-shared-state-v2","ac1d6f3b9d4dcbecbe58514e6df8adff"
"1.1.0","study2","primary",39,120,1000,4,2,4,1390001,1390002,"study2_primary_q4_n120_ntest1000_m4_rep039.rds",47528,"fdcb0e7ec356b6b37939ec6a8e75fd1f","study2-synthetic-shared-state-v2","ac1d6f3b9d4dcbecbe58514e6df8adff"
"1.1.0","study2","primary",40,120,1000,4,2,4,1400001,1400002,"study2_primary_q4_n120_ntest1000_m4_rep040.rds",47428,"0b150987b4faaf2a3ff189428c243a6b","study2-synthetic-shared-state-v2","ac1d6f3b9d4dcbecbe58514e6df8adff"
"1.1.0","study2","primary",41,120,1000,4,2,4,1410001,1410002,"study2_primary_q4_n120_ntest1000_m4_rep041.rds",47492,"05e96a2e12018b0108bd3c786ccb4180","study2-synthetic-shared-state-v2","ac1d6f3b9d4dcbecbe58514e6df8adff"
"1.1.0","study2","primary",42,120,1000,4,2,4,1420001,1420002,"study2_primary_q4_n120_ntest1000_m4_rep042.rds",47536,"2d091b1af5a16352863888f9445847b0","study2-synthetic-shared-state-v2","ac1d6f3b9d4dcbecbe58514e6df8adff"
"1.1.0","study2","primary",43,120,1000,4,2,4,1430001,1430002,"study2_primary_q4_n120_ntest1000_m4_rep043.rds",47244,"ebc130847dccf5692429d7bd212bdee9","study2-synthetic-shared-state-v2","ac1d6f3b9d4dcbecbe58514e6df8adff"
