"file","exists","md5"
"00_parallel_utils.R",TRUE,"720bfe2d116ee2c4a60efe359c076281"
"00_study1_functions.R",TRUE,"1377c9272e721a348095df22221e0ae2"
"00_study2_functions.R",TRUE,"71488124770eb18becbcecb2066b6906"
"03_study2_published_competitors.R",TRUE,"f0b5c469c93f018c5e9b4ce863cded79"
"00_public_api.R",TRUE,"63681a727bc198f9fd704c07c2856814"
"00_synthetic_data.R",TRUE,"1b10f907dea03599c14ada8667f1eea1"
"04_study1_ablations.R",TRUE,"fcd22659925e52c0210f5e96e7a19bb4"
"04_study2_ablations.R",TRUE,"4f797e551604d33bfc53dab84a6ac109"
"08_published_competitor_validation.R",TRUE,"fcaf48e9a47a3d17b9482110b62e8f7a"
"09_experiment_design_validation.R",TRUE,"2a9e1d25bc1aae3507a2e84d960a534c"
"simulation_helpers.R",TRUE,"02bf17dbc203e3e5bab069b25f1df13a"
"02_study1_monte_carlo.R",TRUE,"9d76f15a8ea17d8f0e03fc11e3119f70"
"02_study2_monte_carlo.R",TRUE,"4670cb334881b41013101176f7db7762"
"run_study1_simulation.R",TRUE,"6d92d8edc34a9874d5f657d539b4d389"
"run_study2_simulation.R",TRUE,"150df1af5536df991965f856a4a4fae5"
