"schema_version","study","scenario","rep","n","n_test","q","d","m","data_seed","calibration_seed","file","bytes","md5","generator_tag","design_fingerprint","cell_id"
"1.1.0","study2","primary",1,120,1000,2,2,4,1010001,1010002,"study2_primary_q2_n120_ntest1000_m4_rep001.rds",45856,"be4853b444e2111dbe1fe35c108d9993","study2-synthetic-shared-state-v2","f0c9499deacb12091c645cb7219917da","primary_q2"
"1.1.0","study2","primary",2,120,1000,2,2,4,1020001,1020002,"study2_primary_q2_n120_ntest1000_m4_rep002.rds",46704,"216f1c73501b63b874d8aa50b464be46","study2-synthetic-shared-state-v2","f0c9499deacb12091c645cb7219917da","primary_q2"
"1.1.0","study2","primary",3,120,1000,2,2,4,1030001,1030002,"study2_primary_q2_n120_ntest1000_m4_rep003.rds",46708,"39b5015cc0ec849cb698e62845fdb285","study2-synthetic-shared-state-v2","f0c9499deacb12091c645cb7219917da","primary_q2"
"1.1.0","study2","primary",4,120,1000,2,2,4,1040001,1040002,"study2_primary_q2_n120_ntest1000_m4_rep004.rds",46684,"2487acd3fbbd2fe66d58fe2465f2bc09","study2-synthetic-shared-state-v2","f0c9499deacb12091c645cb7219917da","primary_q2"
"1.1.0","study2","primary",5,120,1000,2,2,4,1050001,1050002,"study2_primary_q2_n120_ntest1000_m4_rep005.rds",46700,"8710e90c5e821679449f9467bb69d046","study2-synthetic-shared-state-v2","f0c9499deacb12091c645cb7219917da","primary_q2"
"1.1.0","study2","primary",6,120,1000,2,2,4,1060001,1060002,"study2_primary_q2_n120_ntest1000_m4_rep006.rds",46724,"77d96097f76eb5a208d28714bea0b98e","study2-synthetic-shared-state-v2","f0c9499deacb12091c645cb7219917da","primary_q2"
"1.1.0","study2","primary",7,120,1000,2,2,4,1070001,1070002,"study2_primary_q2_n120_ntest1000_m4_rep007.rds",46656,"3077c58fc497511b143b2aa596671150","study2-synthetic-shared-state-v2","f0c9499deacb12091c645cb7219917da","primary_q2"
"1.1.0","study2","primary",8,120,1000,2,2,4,1080001,1080002,"study2_primary_q2_n120_ntest1000_m4_rep008.rds",45904,"2c4859d376d0cfe64b1f3f44a3bd19ee","study2-synthetic-shared-state-v2","f0c9499deacb12091c645cb7219917da","primary_q2"
"1.1.0","study2","primary",9,120,1000,2,2,4,1090001,1090002,"study2_primary_q2_n120_ntest1000_m4_rep009.rds",46676,"6588918c25555010b17ff4e1d03fffee","study2-synthetic-shared-state-v2","f0c9499deacb12091c645cb7219917da","primary_q2"
"1.1.0","study2","primary",10,120,1000,2,2,4,1100001,1100002,"study2_primary_q2_n120_ntest1000_m4_rep010.rds",46648,"2ab16b799a9d7b3425de1c210ae4b724","study2-synthetic-shared-state-v2","f0c9499deacb12091c645cb7219917da","primary_q2"
"1.1.0","study2","primary",11,120,1000,2,2,4,1110001,1110002,"study2_primary_q2_n120_ntest1000_m4_rep011.rds",45912,"9588850dfe9fa153fc48c7f6b81d6af5","study2-synthetic-shared-state-v2","f0c9499deacb12091c645cb7219917da","primary_q2"
"1.1.0","study2","primary",12,120,1000,2,2,4,1120001,1120002,"study2_primary_q2_n120_ntest1000_m4_rep012.rds",45912,"33e6685d676f88ebee2655d3921a65d3","study2-synthetic-shared-state-v2","f0c9499deacb12091c645cb7219917da","primary_q2"
"1.1.0","study2","primary",13,120,1000,2,2,4,1130001,1130002,"study2_primary_q2_n120_ntest1000_m4_rep013.rds",46668,"3592e20c3f0cfab8958bf8ef17035f2e","study2-synthetic-shared-state-v2","f0c9499deacb12091c645cb7219917da","primary_q2"
"1.1.0","study2","primary",14,120,1000,2,2,4,1140001,1140002,"study2_primary_q2_n120_ntest1000_m4_rep014.rds",45952,"c6ba31d9a1df55e5dcf4414b2788ad19","study2-synthetic-shared-state-v2","f0c9499deacb12091c645cb7219917da","primary_q2"
"1.1.0","study2","primary",15,120,1000,2,2,4,1150001,1150002,"study2_primary_q2_n120_ntest1000_m4_rep015.rds",45908,"3183b21f972d7706af147d14fb1a10b1","study2-synthetic-shared-state-v2","f0c9499deacb12091c645cb7219917da","primary_q2"
"1.1.0","study2","primary",16,120,1000,2,2,4,1160001,1160002,"study2_primary_q2_n120_ntest1000_m4_rep016.rds",46560,"fbb7e9526117f026bb6eac219567273e","study2-synthetic-shared-state-v2","f0c9499deacb12091c645cb7219917da","primary_q2"
"1.1.0","study2","primary",17,120,1000,2,2,4,1170001,1170002,"study2_primary_q2_n120_ntest1000_m4_rep017.rds",46668,"33cac88ab1124b18849487d3d8158ddb","study2-synthetic-shared-state-v2","f0c9499deacb12091c645cb7219917da","primary_q2"
"1.1.0","study2","primary",18,120,1000,2,2,4,1180001,1180002,"study2_primary_q2_n120_ntest1000_m4_rep018.rds",46676,"09230d13c8dd1400b3b09901976a5199","study2-synthetic-shared-state-v2","f0c9499deacb12091c645cb7219917da","primary_q2"
"1.1.0","study2","primary",19,120,1000,2,2,4,1190001,1190002,"study2_primary_q2_n120_ntest1000_m4_rep019.rds",46716,"5e0594b3b65bb895f0613842553dc0c4","study2-synthetic-shared-state-v2","f0c9499deacb12091c645cb7219917da","primary_q2"
"1.1.0","study2","primary",20,120,1000,2,2,4,1200001,1200002,"study2_primary_q2_n120_ntest1000_m4_rep020.rds",46616,"bc7ae831dc54d02cd284d5ffefb44d95","study2-synthetic-shared-state-v2","f0c9499deacb12091c645cb7219917da","primary_q2"
"1.1.0","study2","primary",21,120,1000,2,2,4,1210001,1210002,"study2_primary_q2_n120_ntest1000_m4_rep021.rds",46712,"811e478fa0f83d438a8a581bdd7fc698","study2-synthetic-shared-state-v2","f0c9499deacb12091c645cb7219917da","primary_q2"
