"study","cell_id","design_role","task_type","method","n_calib","rep","planned_units"
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,1,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,2,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,3,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,4,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,5,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,6,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,7,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,8,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,9,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,10,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,11,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,12,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,13,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,14,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,15,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,16,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,17,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,18,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,19,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,20,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,21,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,22,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,23,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,24,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,25,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,26,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,27,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,28,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,29,1
"study2","primary_q2","primary_proxy_dimension","frozen_data","DGM",,30,1
