"target","evaluation_position","draw_matrix_column","test_row","n_chains","min_draws_per_chain","max_draws_per_chain","rhat","ess_bulk","ess_tail","rhat_limit","bulk_ess_limit","tail_ess_limit","target_pass","rep","scenario","n_calib","used_for_gate"
"predictive_Y_given_X_C",1,5,5,1,30,30,NA,NA,NA,1.05,10,10,FALSE,1,"primary",6,FALSE
"predictive_Y_given_X_C",2,32,32,1,30,30,NA,NA,NA,1.05,10,10,FALSE,1,"primary",6,FALSE
"predictive_Y_given_X_C",3,36,36,1,30,30,NA,NA,NA,1.05,10,10,FALSE,1,"primary",6,FALSE
"predictive_Y_given_X_C",4,49,49,1,30,30,NA,NA,NA,1.05,10,10,FALSE,1,"primary",6,FALSE
"predictive_Y_given_X_C",5,57,57,1,30,30,NA,NA,NA,1.05,10,10,FALSE,1,"primary",6,FALSE
"m_conditional_mean",1,1,5,1,12,12,NA,NA,NA,1.05,10,10,FALSE,1,"primary",6,FALSE
"m_conditional_mean",2,3,32,1,12,12,NA,NA,NA,1.05,10,10,FALSE,1,"primary",6,FALSE
"m_conditional_mean",3,4,36,1,12,12,NA,NA,NA,1.05,10,10,FALSE,1,"primary",6,FALSE
"m_conditional_mean",4,6,49,1,12,12,NA,NA,NA,1.05,10,10,FALSE,1,"primary",6,FALSE
"m_conditional_mean",5,8,57,1,12,12,NA,NA,NA,1.05,10,10,FALSE,1,"primary",6,FALSE
