"scenario","n_calib","method","metric","mean","se","n_success","scenario_label"
"primary",6,"EIV-GP","Bias",0.00789310912487352,NA,1,"Primary interactive"
"primary",6,"EIV-GP","Coverage95",0.875,NA,1,"Primary interactive"
"primary",6,"EIV-GP","MAE",0.092796543906924,NA,1,"Primary interactive"
"primary",6,"EIV-GP","RMSE",0.119439386667477,NA,1,"Primary interactive"
"primary",6,"EIV-GP","Width95",0.468694902250279,NA,1,"Primary interactive"
"primary",6,"EzGP","Bias",0.0725221810448156,NA,1,"Primary interactive"
"primary",6,"EzGP","Coverage95",NA,NA,0,"Primary interactive"
"primary",6,"EzGP","MAE",0.174519219050526,NA,1,"Primary interactive"
"primary",6,"EzGP","RMSE",0.20461664966238,NA,1,"Primary interactive"
"primary",6,"EzGP","Width95",NA,NA,0,"Primary interactive"
"primary",6,"LVGP","Bias",0.00541394773640042,NA,1,"Primary interactive"
"primary",6,"LVGP","Coverage95",NA,NA,0,"Primary interactive"
"primary",6,"LVGP","MAE",0.0612110461380013,NA,1,"Primary interactive"
"primary",6,"LVGP","RMSE",0.0702979490419499,NA,1,"Primary interactive"
"primary",6,"LVGP","Width95",NA,NA,0,"Primary interactive"
"primary",6,"UC-GP","Bias",-0.0263376910002535,NA,1,"Primary interactive"
"primary",6,"UC-GP","Coverage95",NA,NA,0,"Primary interactive"
"primary",6,"UC-GP","MAE",0.53198932085469,NA,1,"Primary interactive"
"primary",6,"UC-GP","RMSE",0.634505431702964,NA,1,"Primary interactive"
"primary",6,"UC-GP","Width95",NA,NA,0,"Primary interactive"
