"parameter","block","rhat","ess_bulk","ess_tail","rep","scenario","n_calib"
"A[1,1]","loading",1.67473526537016,3.9381929576469,19.2088967521799,1,"primary",6
"A[2,1]","loading",1.04596745005534,30.1372025680587,56.995663373439,1,"primary",6
"A[2,2]","loading",1.80669106193581,3.79302473365344,39.52,1,"primary",6
"tau[1,1]","cutpoint",1.5049170947455,4.50893083578611,22.0545560069646,1,"primary",6
"tau[1,2]","cutpoint",1.48594838832056,4.70302359902916,31.448275862069,1,"primary",6
"tau[1,3]","cutpoint",1.96368657328536,3.36823720882584,14.5859322521831,1,"primary",6
"tau[2,1]","cutpoint",1.45637805370443,4.8858452504748,22.0545560069646,1,"primary",6
"tau[2,2]","cutpoint",1.07055408042089,12.4096654453386,14.3247573273019,1,"primary",6
"tau[2,3]","cutpoint",2.25038013546927,3.10383253050575,20.5934155263515,1,"primary",6
"U[1,1]","latent",1.04480926254604,137.299841838478,55.8981612446959,1,"primary",6
"U[2,1]","latent",1.00802788930736,60.7057056594006,87.112417340191,1,"primary",6
"U[3,1]","latent",1.03436673964905,41.3006192361291,76.5942658557776,1,"primary",6
"U[4,1]","latent",0.987926571112207,137.26194822371,98.7012987012987,1,"primary",6
"U[5,1]","latent",1.02574229620832,69.3969276254552,85.5437016736811,1,"primary",6
"U[6,1]","latent",1.00010673126451,78.645909693847,59.0732436472347,1,"primary",6
"U[7,1]","latent",1.07933219176115,88.3483551665166,52.5764966740577,1,"primary",6
"U[9,1]","latent",0.982608366560306,105.605590447889,54.3660582141095,1,"primary",6
"U[10,1]","latent",1.00915194955967,64.6740345997078,59.1960445663585,1,"primary",6
"U[11,1]","latent",1.00366554409009,70.5238247980559,43.07632170429,1,"primary",6
"U[13,1]","latent",1.02452984676429,62.2523786047666,59.0732436472347,1,"primary",6
"U[14,1]","latent",1.02627779683742,53.0759862710909,34.3735866123926,1,"primary",6
"U[15,1]","latent",1.00856879971156,76.60929896036,91.4902449149024,1,"primary",6
"U[16,1]","latent",1.03728113079317,92.4580011070452,93.4809348093481,1,"primary",6
"U[17,1]","latent",1.03513297524007,87.5830951627887,96.4201003916377,1,"primary",6
"U[18,1]","latent",0.992262581581962,105.13971847745,96.4201003916377,1,"primary",6
"U[19,1]","latent",1.00702979482306,91.4988247795585,78.9378612716763,1,"primary",6
"U[20,1]","latent",1.06086531580624,78.4948551964363,59.0732436472347,1,"primary",6
"U[21,1]","latent",1.00746979436591,90.9348413936145,69.4145199063232,1,"primary",6
"U[22,1]","latent",1.0796428398363,25.1480122335442,44.9943074003794,1,"primary",6
"U[23,1]","latent",0.997876595050137,86.8792173484428,93.4809348093481,1,"primary",6
"U[24,1]","latent",0.999571674630175,123.850975616425,69.4145199063232,1,"primary",6
"U[25,1]","latent",1.02673369488849,39.2821856968273,59.1960445663585,1,"primary",6
"U[26,1]","latent",1.00328758661687,88.4893761736694,59.0732436472347,1,"primary",6
"U[27,1]","latent",1.01338136987484,89.4099337979391,98.7012987012987,1,"primary",6
"U[28,1]","latent",0.992463228910436,82.4747555221255,91.4902449149025,1,"primary",6
"U[29,1]","latent",1.02126494302899,83.9962159459509,87.9983890455095,1,"primary",6
"U[30,1]","latent",1.00561068423215,129.41769134813,74.3789209535759,1,"primary",6
"U[31,1]","latent",0.994670492493728,64.4578374962861,98.7012987012987,1,"primary",6
"U[32,1]","latent",1.04810595487618,55.5631297598796,65.0713501646542,1,"primary",6
"U[33,1]","latent",1.04518967126587,83.6146653496396,95.0761828388132,1,"primary",6
"U[34,1]","latent",1.00854427865712,115.998063124723,93.4809348093481,1,"primary",6
"U[35,1]","latent",1.00526765969573,69.0089814274347,78.9378612716763,1,"primary",6
"U[36,1]","latent",1.00403953970474,57.403954747455,91.4902449149024,1,"primary",6
"U[37,1]","latent",1.01230443411339,72.9157819122374,81.0234541577825,1,"primary",6
"U[38,1]","latent",1.03470703340031,70.1271606308597,60.9249743062692,1,"primary",6
"U[39,1]","latent",1.01977699545766,59.0555647627877,55.8981612446959,1,"primary",6
"U[40,1]","latent",1.03252624711751,73.6676239862511,62.4657534246575,1,"primary",6
"U[41,1]","latent",1.02934883242261,94.4518335467057,60.3612003176905,1,"primary",6
"U[42,1]","latent",0.985459250664645,70.2093432096271,87.9983890455094,1,"primary",6
"U[43,1]","latent",1.00029668113647,79.7207144002364,69.2119089316988,1,"primary",6
"U[44,1]","latent",1.04822457613282,81.4085146599784,95.0761828388132,1,"primary",6
"U[45,1]","latent",0.995926512210863,67.5554302162632,95.0761828388132,1,"primary",6
"U[46,1]","latent",1.05156684553099,59.1272354903521,67.9037800687286,1,"primary",6
"U[47,1]","latent",1.00468038838913,71.6835561879441,99.5500882738197,1,"primary",6
"U[48,1]","latent",1.00247618418608,82.5114008661728,32.0519059205191,1,"primary",6
"U[49,1]","latent",1.00448883042244,63.1896647962591,75.6348661633493,1,"primary",6
"U[50,1]","latent",1.01513181550693,66.280614951862,75.6348661633494,1,"primary",6
"U[51,1]","latent",0.981634106490133,132.419718611641,61.2396694214876,1,"primary",6
"U[52,1]","latent",1.00948318859505,87.6989169648574,51.8181818181818,1,"primary",6
"U[53,1]","latent",1.02156427045998,69.4598744392116,50.7951140815856,1,"primary",6
"U[54,1]","latent",1.01430416640803,95.0279843036808,83.2222433822129,1,"primary",6
"U[55,1]","latent",1.01533690233096,71.4858815357599,60.3612003176905,1,"primary",6
"U[56,1]","latent",1.04705979991929,117.327256406204,54.5354185832566,1,"primary",6
"U[57,1]","latent",1.01235862395932,59.3270210760782,96.4201003916377,1,"primary",6
"U[58,1]","latent",1.01146285235833,73.9680889578249,55.8981612446959,1,"primary",6
"U[59,1]","latent",1.02627224085151,80.3187491606319,41.5562565720295,1,"primary",6
"U[60,1]","latent",0.992029691388692,70.004157212481,57.4856546687533,1,"primary",6
"U[61,1]","latent",1.00215197566843,63.6564278197776,47.9417711281844,1,"primary",6
"U[62,1]","latent",1.05763378031398,53.5624834179747,65.0713501646542,1,"primary",6
"U[63,1]","latent",0.98454357366778,81.0456293847093,99.5500882738196,1,"primary",6
"U[64,1]","latent",1.05486516965723,73.342639905232,96.4201003916377,1,"primary",6
"U[65,1]","latent",1.02609976198304,76.968889648128,78.9378612716763,1,"primary",6
"U[66,1]","latent",0.997487015487598,79.4441890830831,55.8981612446959,1,"primary",6
"U[67,1]","latent",1.01172902007972,58.0471986832891,68.8965301656768,1,"primary",6
"U[68,1]","latent",1.02155467585356,65.4571595624221,74.3789209535759,1,"primary",6
"U[69,1]","latent",1.00060964238647,63.7076496272162,60.7748517854681,1,"primary",6
"U[70,1]","latent",0.998201288478275,63.2666172379586,85.5437016736811,1,"primary",6
"U[71,1]","latent",0.997934734122804,68.5345325153624,59.7047270757145,1,"primary",6
"U[72,1]","latent",1.00586240525747,79.6931531249033,92.2645914396887,1,"primary",6
"U[73,1]","latent",1.02953923931643,80.9131949375812,95.0761828388132,1,"primary",6
"U[74,1]","latent",1.09302265101541,57.7497995706096,59.0732436472347,1,"primary",6
"U[75,1]","latent",1.00489307235336,111.100616288478,99.5500882738197,1,"primary",6
"U[76,1]","latent",0.987989974516406,69.5855279545549,81.0234541577826,1,"primary",6
"U[77,1]","latent",0.992843164438768,93.8148577577411,59.0732436472347,1,"primary",6
"U[78,1]","latent",0.991908593902814,56.293716143979,60.3612003176905,1,"primary",6
"U[80,1]","latent",1.00506354576801,126.657825572736,60.9249743062692,1,"primary",6
"U[81,1]","latent",0.995485601102312,117.611433549816,63.2606199770379,1,"primary",6
"U[82,1]","latent",1.01303977364653,94.8692977950027,39.52,1,"primary",6
"U[83,1]","latent",0.987941265651906,142.495423753085,83.2222433822129,1,"primary",6
"U[84,1]","latent",1.04055399817368,51.6339873633904,54.5354185832566,1,"primary",6
"U[85,1]","latent",0.99122080025717,80.6657782902779,59.7047270757145,1,"primary",6
"U[86,1]","latent",1.05936173548462,31.1962617796464,54.6173194394539,1,"primary",6
"U[87,1]","latent",1.02098216838199,70.0425824634296,21.4205186020293,1,"primary",6
"U[88,1]","latent",1.01495976255435,92.3075705983341,95.0761828388132,1,"primary",6
"U[89,1]","latent",1.00833338750855,69.8738446827959,55.4256255501069,1,"primary",6
"U[90,1]","latent",1.01417444854575,75.4254305181392,87.112417340191,1,"primary",6
"U[91,1]","latent",1.00686501640494,80.8641541205865,60.3612003176905,1,"primary",6
"U[92,1]","latent",1.04291257585224,61.9705937719631,58.0750191036247,1,"primary",6
"U[93,1]","latent",0.985266154804388,98.3417542498644,98.7012987012987,1,"primary",6
"U[94,1]","latent",1.01813235504662,84.2041505311326,47.2162485065711,1,"primary",6
"U[96,1]","latent",1.027159034534,53.0684828964371,63.7419354838709,1,"primary",6
"U[97,1]","latent",1.11766182391339,15.7328110729757,43.035107587769,1,"primary",6
"U[98,1]","latent",1.01692266706147,61.7291107022453,59.1960445663585,1,"primary",6
"U[99,1]","latent",1.00188612184633,104.426092834717,46.2393789992657,1,"primary",6
"U[100,1]","latent",1.05314049550794,45.5869104999848,52.519957107113,1,"primary",6
"U[102,1]","latent",1.00960873401947,77.1834018327013,59.1960445663585,1,"primary",6
"U[103,1]","latent",1.00272608382048,49.0501800453469,60.3612003176905,1,"primary",6
"U[105,1]","latent",1.00977986633804,150.103807787941,86.3805604546345,1,"primary",6
"U[106,1]","latent",1.00510692228518,93.3927814947863,36.7149758454106,1,"primary",6
"U[107,1]","latent",1.01437221244349,75.4822334159148,69.2119089316988,1,"primary",6
"U[108,1]","latent",1.03090530310082,59.6902632186794,83.2222433822129,1,"primary",6
"U[109,1]","latent",1.01331594059927,84.5104465281808,87.112417340191,1,"primary",6
"U[110,1]","latent",1.05880114244288,41.9562342736864,81.0234541577826,1,"primary",6
"U[111,1]","latent",1.0027958122677,82.312455699573,69.4145199063232,1,"primary",6
"U[112,1]","latent",1.06370146620241,33.6202424631934,99.5500882738197,1,"primary",6
"U[113,1]","latent",0.999496855762129,89.5301210718882,55.8981612446959,1,"primary",6
"U[114,1]","latent",1.01146748353581,110.819422598362,93.4809348093481,1,"primary",6
"U[115,1]","latent",0.995991794530575,81.2034446934052,93.4809348093481,1,"primary",6
"U[116,1]","latent",1.00898732435191,89.1486719546575,59.1960445663585,1,"primary",6
"U[117,1]","latent",0.987338137715374,95.8617146316922,85.6484884119751,1,"primary",6
"U[118,1]","latent",1.01579949142075,79.6556398075296,26.2748487467589,1,"primary",6
"U[119,1]","latent",1.0339864938921,111.327342073039,39.9595551061678,1,"primary",6
"U[120,1]","latent",1.01170214992698,81.5566868105758,91.4902449149025,1,"primary",6
"U[1,2]","latent",1.00308877575015,84.8277965635958,75.0730115100499,1,"primary",6
"U[2,2]","latent",1.09485437589547,22.3425263095428,66.0869565217391,1,"primary",6
"U[3,2]","latent",1.00799285345254,84.112890575393,92.2645914396887,1,"primary",6
"U[4,2]","latent",1.00825798635005,85.0937469095911,76.1953727506426,1,"primary",6
"U[5,2]","latent",0.990113162229184,83.1305599895508,57.4856546687533,1,"primary",6
"U[6,2]","latent",1.04664471247862,89.1179694010495,99.5500882738197,1,"primary",6
"U[7,2]","latent",1.15418644973398,11.5778063572054,95.0761828388132,1,"primary",6
"U[9,2]","latent",1.01162521785049,90.9272103165523,99.5500882738197,1,"primary",6
