"scenario","n_calib","method","metric","mean","se","n_rep_eff"
"primary",6,"EIV-GP","CRPS",0.255278364999887,NA,1
"primary",6,"EIV-GP","Coverage95",0.9,NA,1
"primary",6,"EIV-GP","IntervalScore95",2.66095165563597,NA,1
"primary",6,"EIV-GP","MAE",0.352850182608108,NA,1
"primary",6,"EIV-GP","NLPD",0.561294160280028,NA,1
"primary",6,"EIV-GP","RMSE",0.447275306805922,NA,1
"primary",6,"EIV-GP","Width95",1.35626321060518,NA,1
"primary",NA,"EzGP","CRPS",0.269717181434601,NA,1
"primary",NA,"EzGP","Coverage95",0.733333333333333,NA,1
"primary",NA,"EzGP","IntervalScore95",2.81246062709485,NA,1
"primary",NA,"EzGP","MAE",0.375190958544169,NA,1
"primary",NA,"EzGP","NLPD",0.650024526991129,NA,1
"primary",NA,"EzGP","RMSE",0.461964016566937,NA,1
"primary",NA,"EzGP","Width95",1.15918029415512,NA,1
"primary",NA,"LVGP","CRPS",0.220912505277135,NA,1
"primary",NA,"LVGP","Coverage95",0.883333333333333,NA,1
"primary",NA,"LVGP","IntervalScore95",2.15257417608491,NA,1
"primary",NA,"LVGP","MAE",0.30550198465769,NA,1
"primary",NA,"LVGP","NLPD",0.460355036573859,NA,1
"primary",NA,"LVGP","RMSE",0.38711553868348,NA,1
"primary",NA,"LVGP","Width95",1.17566077066484,NA,1
"primary",NA,"Oracle","CRPS",0.209071984790037,NA,1
"primary",NA,"Oracle","Coverage95",0.783333333333333,NA,1
"primary",NA,"Oracle","IntervalScore95",2.16332730292175,NA,1
"primary",NA,"Oracle","MAE",0.293350126993551,NA,1
"primary",NA,"Oracle","NLPD",0.501446936969944,NA,1
"primary",NA,"Oracle","RMSE",0.382027627214709,NA,1
"primary",NA,"Oracle","Width95",1.04321647736216,NA,1
"primary",NA,"UC-GP","CRPS",0.379938387661677,NA,1
"primary",NA,"UC-GP","Coverage95",0.933333333333333,NA,1
"primary",NA,"UC-GP","IntervalScore95",3.26381936839558,NA,1
"primary",NA,"UC-GP","MAE",0.544670282603295,NA,1
"primary",NA,"UC-GP","NLPD",1.02540464950521,NA,1
"primary",NA,"UC-GP","RMSE",0.650471414377876,NA,1
"primary",NA,"UC-GP","Width95",2.39798144608993,NA,1
