"Pattern","Method","Mean test-set size","CRPS","Coverage95","Width95","Successful replications"
"common","Oracle","58.0","0.214","0.776","1.045",1
"common","EIV-GP","58.0","0.259","0.897","1.371",1
"common","UC-GP","58.0","0.383","0.931","2.386",1
"common","LVGP","58.0","0.224","0.879","1.168",1
"common","EzGP","58.0","0.270","0.724","1.154",1
"rare","Oracle","2.0","0.073","1.000","0.981",1
"rare","EIV-GP","2.0","0.143","1.000","0.940",1
"rare","UC-GP","2.0","0.284","1.000","2.741",1
"rare","LVGP","2.0","0.120","1.000","1.398",1
"rare","EzGP","2.0","0.251","1.000","1.323",1
