"scenario","evaluation_stratum","n_calib","method","metric","mean","se","n_rep_eff"
"primary","common",6,"EIV-GP","CRPS",0.259161367687534,NA,1
"primary","common",6,"EIV-GP","Coverage95",0.896551724137931,NA,1
"primary","common",6,"EIV-GP","IntervalScore95",2.72028990525827,NA,1
"primary","common",6,"EIV-GP","MAE",0.358813646605083,NA,1
"primary","common",6,"EIV-GP","NLPD",0.571451576725891,NA,1
"primary","common",6,"EIV-GP","RMSE",0.452870458900571,NA,1
"primary","common",6,"EIV-GP","Width95",1.37061220350228,NA,1
"primary","common",NA,"EzGP","CRPS",0.270346998022601,NA,1
"primary","common",NA,"EzGP","Coverage95",0.724137931034483,NA,1
"primary","common",NA,"EzGP","IntervalScore95",2.863816570714,NA,1
"primary","common",NA,"EzGP","MAE",0.378547765837906,NA,1
"primary","common",NA,"EzGP","NLPD",0.666540523579518,NA,1
"primary","common",NA,"EzGP","RMSE",0.464194286445727,NA,1
"primary","common",NA,"EzGP","Width95",1.15352657112117,NA,1
"primary","common",NA,"LVGP","CRPS",0.224386930834272,NA,1
"primary","common",NA,"LVGP","Coverage95",0.879310344827586,NA,1
"primary","common",NA,"LVGP","IntervalScore95",2.17860711610079,NA,1
"primary","common",NA,"LVGP","MAE",0.312094161737708,NA,1
"primary","common",NA,"LVGP","NLPD",0.47718438923555,NA,1
"primary","common",NA,"LVGP","RMSE",0.392611538915048,NA,1
"primary","common",NA,"LVGP","Width95",1.16800704152831,NA,1
"primary","common",NA,"Oracle","CRPS",0.213754521391023,NA,1
"primary","common",NA,"Oracle","Coverage95",0.775862068965517,NA,1
"primary","common",NA,"Oracle","IntervalScore95",2.20408323242843,NA,1
"primary","common",NA,"Oracle","MAE",0.301755926901722,NA,1
"primary","common",NA,"Oracle","NLPD",0.530526442191146,NA,1
"primary","common",NA,"Oracle","RMSE",0.388431880960387,NA,1
"primary","common",NA,"Oracle","Width95",1.04534789564264,NA,1
"primary","common",NA,"UC-GP","CRPS",0.383248890706373,NA,1
"primary","common",NA,"UC-GP","Coverage95",0.931034482758621,NA,1
"primary","common",NA,"UC-GP","IntervalScore95",3.28186308545223,NA,1
"primary","common",NA,"UC-GP","MAE",0.550743903037667,NA,1
"primary","common",NA,"UC-GP","NLPD",1.03863065544445,NA,1
"primary","common",NA,"UC-GP","RMSE",0.657936335777592,NA,1
"primary","common",NA,"UC-GP","Width95",2.38616868306708,NA,1
"primary","rare",6,"EIV-GP","CRPS",0.142671287058117,NA,1
"primary","rare",6,"EIV-GP","Coverage95",1,NA,1
"primary","rare",6,"EIV-GP","IntervalScore95",0.940142416589229,NA,1
"primary","rare",6,"EIV-GP","MAE",0.179909726695831,NA,1
"primary","rare",6,"EIV-GP","NLPD",0.266729083349986,NA,1
"primary","rare",6,"EIV-GP","RMSE",0.232374866434238,NA,1
"primary","rare",6,"EIV-GP","Width95",0.940142416589229,NA,1
"primary","rare",NA,"EzGP","CRPS",0.251452500382594,NA,1
"primary","rare",NA,"EzGP","Coverage95",1,NA,1
"primary","rare",NA,"EzGP","IntervalScore95",1.32313826213957,NA,1
"primary","rare",NA,"EzGP","MAE",0.277843547025791,NA,1
"primary","rare",NA,"EzGP","NLPD",0.171060625927862,NA,1
"primary","rare",NA,"EzGP","RMSE",0.391802050253512,NA,1
"primary","rare",NA,"EzGP","Width95",1.32313826213957,NA,1
"primary","rare",NA,"LVGP","CRPS",0.120154164120185,NA,1
"primary","rare",NA,"LVGP","Coverage95",1,NA,1
"primary","rare",NA,"LVGP","IntervalScore95",1.39761891562443,NA,1
"primary","rare",NA,"LVGP","MAE",0.114328849337145,NA,1
"primary","rare",NA,"LVGP","NLPD",-0.0276961906151713,NA,1
"primary","rare",NA,"LVGP","RMSE",0.159945035927992,NA,1
"primary","rare",NA,"LVGP","Width95",1.39761891562443,NA,1
"primary","rare",NA,"Oracle","CRPS",0.0732784233614223,NA,1
"primary","rare",NA,"Oracle","Coverage95",1,NA,1
"primary","rare",NA,"Oracle","IntervalScore95",0.981405347228037,NA,1
"primary","rare",NA,"Oracle","MAE",0.0495819296565884,NA,1
"primary","rare",NA,"Oracle","NLPD",-0.341858714444905,NA,1
"primary","rare",NA,"Oracle","RMSE",0.0534114258630217,NA,1
"primary","rare",NA,"Oracle","Width95",0.981405347228037,NA,1
"primary","rare",NA,"UC-GP","CRPS",0.28393379936548,NA,1
"primary","rare",NA,"UC-GP","Coverage95",1,NA,1
"primary","rare",NA,"UC-GP","IntervalScore95",2.74055157375255,NA,1
"primary","rare",NA,"UC-GP","MAE",0.368535290006499,NA,1
"primary","rare",NA,"UC-GP","NLPD",0.641850477267091,NA,1
"primary","rare",NA,"UC-GP","RMSE",0.373985817278875,NA,1
"primary","rare",NA,"UC-GP","Width95",2.74055157375255,NA,1
