"scenario","n_calib","method","metric","mean","se","n_success","scenario_label"
"primary",6,"EIV-GP","Bias",-0.0565612711722242,NA,1,"Primary interactive"
"primary",6,"EIV-GP","Coverage95",0.75,NA,1,"Primary interactive"
"primary",6,"EIV-GP","MAE",0.115855308817173,NA,1,"Primary interactive"
"primary",6,"EIV-GP","RMSE",0.135046538498502,NA,1,"Primary interactive"
"primary",6,"EIV-GP","Width95",0.362291093669325,NA,1,"Primary interactive"
"primary",6,"EzGP","Bias",-0.01796207572118,NA,1,"Primary interactive"
"primary",6,"EzGP","Coverage95",NA,NA,0,"Primary interactive"
"primary",6,"EzGP","MAE",0.245752877405128,NA,1,"Primary interactive"
"primary",6,"EzGP","RMSE",0.27736205662659,NA,1,"Primary interactive"
"primary",6,"EzGP","Width95",NA,NA,0,"Primary interactive"
"primary",6,"UC-GP","Bias",-0.0682066213474019,NA,1,"Primary interactive"
"primary",6,"UC-GP","Coverage95",NA,NA,0,"Primary interactive"
"primary",6,"UC-GP","MAE",0.101299976331843,NA,1,"Primary interactive"
"primary",6,"UC-GP","RMSE",0.116212434988263,NA,1,"Primary interactive"
"primary",6,"UC-GP","Width95",NA,NA,0,"Primary interactive"
