"parameter","block","rhat","ess_bulk","ess_tail","rep","scenario","n_calib"
"A[1,1]","loading",1.49313419962647,4.72865557965876,18.1622655036444,1,"primary",6
"A[2,1]","loading",1.04181321271124,31.8672024977515,68.3774057268034,1,"primary",6
"A[2,2]","loading",1.11047589220878,13.6680886081936,41.9091081954744,1,"primary",6
"A[3,1]","loading",1.07930609790418,17.8303089714646,47.6643598615917,1,"primary",6
"A[3,2]","loading",1.45994407287338,4.6976103553994,49.4618272841051,1,"primary",6
"tau[1,1]","cutpoint",1.71437638736805,3.89758725001171,39.52,1,"primary",6
"tau[1,2]","cutpoint",1.27141378209078,6.38057678590115,13.9500734214391,1,"primary",6
"tau[1,3]","cutpoint",1.31862127121429,5.999336004483,41.9091081954744,1,"primary",6
"tau[2,1]","cutpoint",1.13276889378459,16.6031606054894,42.1987784564131,1,"primary",6
"tau[2,2]","cutpoint",1.68396539882267,3.91773408950576,23.8169852710749,1,"primary",6
"tau[2,3]","cutpoint",1.51572413235943,4.43607416608476,13.9500734214391,1,"primary",6
"tau[3,1]","cutpoint",1.66750189658997,4.07277389577443,22.0545560069646,1,"primary",6
"tau[3,2]","cutpoint",1.98906771632659,3.33910023721635,22.0545560069646,1,"primary",6
"tau[3,3]","cutpoint",1.71844381815019,4.07375982902017,29.3392724573125,1,"primary",6
"U[1,1]","latent",1.07123306653677,43.9890736581415,91.4902449149024,1,"primary",6
"U[2,1]","latent",1.02557829430435,57.5403779048161,81.0234541577826,1,"primary",6
"U[3,1]","latent",1.0803999056466,27.4474248059653,39.3171236420073,1,"primary",6
"U[4,1]","latent",1.05136446883969,35.3602669949288,93.4809348093481,1,"primary",6
"U[5,1]","latent",0.985225980108344,90.1611436453218,99.5500882738197,1,"primary",6
"U[6,1]","latent",1.02244778855839,50.6679283410716,59.7047270757145,1,"primary",6
"U[7,1]","latent",1.00690857360981,53.4888626679163,43.7329398745851,1,"primary",6
"U[9,1]","latent",1.04201807401583,60.5532672905776,49.1591203104787,1,"primary",6
"U[10,1]","latent",1.0075236172942,64.5632149500237,60.3612003176905,1,"primary",6
"U[11,1]","latent",1.04038889972615,70.7358665723076,55.8981612446959,1,"primary",6
"U[13,1]","latent",1.04624362676647,67.7734880531829,60.3612003176906,1,"primary",6
"U[14,1]","latent",1.00463423738217,92.883558496519,85.5437016736811,1,"primary",6
"U[15,1]","latent",1.05057255565465,80.2943860884752,59.1960445663585,1,"primary",6
