"scenario","n_calib","method","metric","mean","se","n_rep_eff"
"primary",6,"EIV-GP","CRPS",0.194611307033866,NA,1
"primary",6,"EIV-GP","Coverage95",0.916666666666667,NA,1
"primary",6,"EIV-GP","IntervalScore95",1.75363951225522,NA,1
"primary",6,"EIV-GP","MAE",0.275509589210025,NA,1
"primary",6,"EIV-GP","NLPD",0.277066479385687,NA,1
"primary",6,"EIV-GP","RMSE",0.342857253659364,NA,1
"primary",6,"EIV-GP","Width95",1.18468435227287,NA,1
"primary",NA,"EzGP","CRPS",0.294698480238096,NA,1
"primary",NA,"EzGP","Coverage95",0.883333333333333,NA,1
"primary",NA,"EzGP","IntervalScore95",2.88720701187905,NA,1
"primary",NA,"EzGP","MAE",0.408053205674761,NA,1
"primary",NA,"EzGP","NLPD",0.654103393381386,NA,1
"primary",NA,"EzGP","RMSE",0.553094252935599,NA,1
"primary",NA,"EzGP","Width95",1.58124297233159,NA,1
"primary",NA,"Oracle","CRPS",0.180224172475009,NA,1
"primary",NA,"Oracle","Coverage95",0.883333333333333,NA,1
"primary",NA,"Oracle","IntervalScore95",1.59624347101291,NA,1
"primary",NA,"Oracle","MAE",0.256168329672203,NA,1
"primary",NA,"Oracle","NLPD",0.262996981840443,NA,1
"primary",NA,"Oracle","RMSE",0.32921321628728,NA,1
"primary",NA,"Oracle","Width95",0.924302388118675,NA,1
"primary",NA,"UC-GP","CRPS",0.200929548767091,NA,1
"primary",NA,"UC-GP","Coverage95",0.85,NA,1
"primary",NA,"UC-GP","IntervalScore95",2.55948027758694,NA,1
"primary",NA,"UC-GP","MAE",0.266026987219597,NA,1
"primary",NA,"UC-GP","NLPD",0.473982797609055,NA,1
"primary",NA,"UC-GP","RMSE",0.367347161022995,NA,1
"primary",NA,"UC-GP","Width95",1.0344433240688,NA,1
