"Pattern","Method","Mean test-set size","CRPS","Coverage95","Width95","Successful replications"
"common","Oracle","19.0","0.145","0.947","0.826",1
"common","EIV-GP","19.0","0.165","0.947","1.266",1
"common","UC-GP","19.0","0.151","1.000","1.048",1
"common","EzGP","19.0","0.305","0.895","1.662",1
"rare","Oracle","30.0","0.199","0.867","0.987",1
"rare","EIV-GP","30.0","0.212","0.933","1.171",1
"rare","UC-GP","30.0","0.222","0.767","1.014",1
"rare","EzGP","30.0","0.303","0.833","1.416",1
"unobserved","Oracle","11.0","0.190","0.818","0.922",1
"unobserved","EIV-GP","11.0","0.197","0.818","1.082",1
"unobserved","UC-GP","11.0","0.230","0.818","1.067",1
"unobserved","EzGP","11.0","0.255","1.000","1.893",1
