"scenario","evaluation_stratum","n_calib","method","metric","mean","se","n_rep_eff"
"primary","common",6,"EIV-GP","CRPS",0.165336866171433,NA,1
"primary","common",6,"EIV-GP","Coverage95",0.947368421052632,NA,1
"primary","common",6,"EIV-GP","IntervalScore95",1.34470097945158,NA,1
"primary","common",6,"EIV-GP","MAE",0.248480383747841,NA,1
"primary","common",6,"EIV-GP","NLPD",0.134425936809732,NA,1
"primary","common",6,"EIV-GP","RMSE",0.297375828860368,NA,1
"primary","common",6,"EIV-GP","Width95",1.26602184016658,NA,1
"primary","common",NA,"EzGP","CRPS",0.30451536971907,NA,1
"primary","common",NA,"EzGP","Coverage95",0.894736842105263,NA,1
"primary","common",NA,"EzGP","IntervalScore95",2.74630496270329,NA,1
"primary","common",NA,"EzGP","MAE",0.415986280592683,NA,1
"primary","common",NA,"EzGP","NLPD",0.616905729927137,NA,1
"primary","common",NA,"EzGP","RMSE",0.592377302648746,NA,1
"primary","common",NA,"EzGP","Width95",1.66182828777429,NA,1
"primary","common",NA,"Oracle","CRPS",0.145475902230823,NA,1
"primary","common",NA,"Oracle","Coverage95",0.947368421052632,NA,1
"primary","common",NA,"Oracle","IntervalScore95",1.07850787386146,NA,1
"primary","common",NA,"Oracle","MAE",0.210290103496323,NA,1
"primary","common",NA,"Oracle","NLPD",0.0569369238412966,NA,1
"primary","common",NA,"Oracle","RMSE",0.251359423075516,NA,1
"primary","common",NA,"Oracle","Width95",0.825964190818499,NA,1
"primary","common",NA,"UC-GP","CRPS",0.151337627371071,NA,1
"primary","common",NA,"UC-GP","Coverage95",1,NA,1
"primary","common",NA,"UC-GP","IntervalScore95",1.0477236951933,NA,1
"primary","common",NA,"UC-GP","MAE",0.211837707160591,NA,1
"primary","common",NA,"UC-GP","NLPD",0.0814361741987464,NA,1
"primary","common",NA,"UC-GP","RMSE",0.25231941463254,NA,1
"primary","common",NA,"UC-GP","Width95",1.0477236951933,NA,1
"primary","rare",6,"EIV-GP","CRPS",0.212438919444433,NA,1
"primary","rare",6,"EIV-GP","Coverage95",0.933333333333333,NA,1
"primary","rare",6,"EIV-GP","IntervalScore95",1.74534400781404,NA,1
"primary","rare",6,"EIV-GP","MAE",0.306216186069404,NA,1
"primary","rare",6,"EIV-GP","NLPD",0.347956668762084,NA,1
"primary","rare",6,"EIV-GP","RMSE",0.368755352167077,NA,1
"primary","rare",6,"EIV-GP","Width95",1.17084681285684,NA,1
"primary","rare",NA,"EzGP","CRPS",0.302893764691869,NA,1
"primary","rare",NA,"EzGP","Coverage95",0.833333333333333,NA,1
"primary","rare",NA,"EzGP","IntervalScore95",3.34091394839031,NA,1
"primary","rare",NA,"EzGP","MAE",0.41486964802288,NA,1
"primary","rare",NA,"EzGP","NLPD",0.736715295997448,NA,1
"primary","rare",NA,"EzGP","RMSE",0.557957751486433,NA,1
"primary","rare",NA,"EzGP","Width95",1.41582109675043,NA,1
"primary","rare",NA,"Oracle","CRPS",0.198784933004841,NA,1
"primary","rare",NA,"Oracle","Coverage95",0.866666666666667,NA,1
"primary","rare",NA,"Oracle","IntervalScore95",1.80486937294195,NA,1
"primary","rare",NA,"Oracle","MAE",0.28603891194808,NA,1
"primary","rare",NA,"Oracle","NLPD",0.387277242599701,NA,1
"primary","rare",NA,"Oracle","RMSE",0.362458050131443,NA,1
"primary","rare",NA,"Oracle","Width95",0.987450400830398,NA,1
"primary","rare",NA,"UC-GP","CRPS",0.221523165265927,NA,1
"primary","rare",NA,"UC-GP","Coverage95",0.766666666666667,NA,1
"primary","rare",NA,"UC-GP","IntervalScore95",3.25116416593081,NA,1
"primary","rare",NA,"UC-GP","MAE",0.28098099703104,NA,1
"primary","rare",NA,"UC-GP","NLPD",0.695190291531075,NA,1
"primary","rare",NA,"UC-GP","RMSE",0.413936310699143,NA,1
"primary","rare",NA,"UC-GP","Width95",1.01404764025093,NA,1
"primary","unobserved",6,"EIV-GP","CRPS",0.196555489221977,NA,1
"primary","unobserved",6,"EIV-GP","Coverage95",0.818181818181818,NA,1
"primary","unobserved",6,"EIV-GP","IntervalScore95",2.48261199011927,NA,1
"primary","unobserved",6,"EIV-GP","MAE",0.238451134482762,NA,1
"primary","unobserved",6,"EIV-GP","NLPD",0.330108718263069,NA,1
"primary","unobserved",6,"EIV-GP","RMSE",0.342906719682441,NA,1
"primary","unobserved",6,"EIV-GP","Width95",1.08193107159105,NA,1
"primary","unobserved",NA,"EzGP","CRPS",0.255391258987939,NA,1
"primary","unobserved",NA,"EzGP","Coverage95",1,NA,1
"primary","unobserved",NA,"EzGP","IntervalScore95",1.89320072451556,NA,1
"primary","unobserved",NA,"EzGP","MAE",0.375760324412573,NA,1
"primary","unobserved",NA,"EzGP","NLPD",0.493048714031281,NA,1
"primary","unobserved",NA,"EzGP","RMSE",0.462009747962367,NA,1
"primary","unobserved",NA,"EzGP","Width95",1.89320072451556,NA,1
"primary","unobserved",NA,"Oracle","CRPS",0.189623655997246,NA,1
"primary","unobserved",NA,"Oracle","Coverage95",0.818181818181818,NA,1
"primary","unobserved",NA,"Oracle","IntervalScore95",1.92153431537711,NA,1
"primary","unobserved",NA,"Oracle","MAE",0.253947314132696,NA,1
"primary","unobserved",NA,"Oracle","NLPD",0.279972734495539,NA,1
"primary","unobserved",NA,"Oracle","RMSE",0.351769001132074,NA,1
"primary","unobserved",NA,"Oracle","Width95",0.921937421514282,NA,1
"primary","unobserved",NA,"UC-GP","CRPS",0.2304239134543,NA,1
"primary","unobserved",NA,"UC-GP","Coverage95",0.818181818181818,NA,1
"primary","unobserved",NA,"UC-GP","IntervalScore95",3.28428558805632,NA,1
"primary","unobserved",NA,"UC-GP","MAE",0.318842989653946,NA,1
"primary","unobserved",NA,"UC-GP","NLPD",0.548724709166808,NA,1
"primary","unobserved",NA,"UC-GP","RMSE",0.398485937955735,NA,1
"primary","unobserved",NA,"UC-GP","Width95",1.06712909344793,NA,1
