"rep","scenario","evaluation_stratum","n_test_eval","n_calib","method","RMSE","MAE","Coverage95","Width95","CRPS","NLPD","NLPD_reason","IntervalScore95"
1,"primary","overall",60,NA,"Oracle",0.32921321628728,0.256168329672203,0.883333333333333,0.924302388118675,0.180224172475009,0.262996981840443,"",1.59624347101291
1,"primary","common",19,NA,"Oracle",0.251359423075516,0.210290103496323,0.947368421052632,0.825964190818499,0.145475902230823,0.0569369238412966,"",1.07850787386146
1,"primary","rare",30,NA,"Oracle",0.362458050131443,0.28603891194808,0.866666666666667,0.987450400830398,0.198784933004841,0.387277242599701,"",1.80486937294195
1,"primary","unobserved",11,NA,"Oracle",0.351769001132074,0.253947314132696,0.818181818181818,0.921937421514282,0.189623655997246,0.279972734495539,"",1.92153431537711
1,"primary","overall",60,NA,"UC-GP",0.367347161022995,0.266026987219597,0.85,1.0344433240688,0.200929548767091,0.473982797609055,"",2.55948027758694
1,"primary","common",19,NA,"UC-GP",0.25231941463254,0.211837707160591,1,1.0477236951933,0.151337627371071,0.0814361741987464,"",1.0477236951933
1,"primary","rare",30,NA,"UC-GP",0.413936310699143,0.28098099703104,0.766666666666667,1.01404764025093,0.221523165265927,0.695190291531075,"",3.25116416593081
1,"primary","unobserved",11,NA,"UC-GP",0.398485937955735,0.318842989653946,0.818181818181818,1.06712909344793,0.2304239134543,0.548724709166808,"",3.28428558805632
1,"primary","overall",60,NA,"EzGP",0.553094252935599,0.408053205674761,0.883333333333333,1.58124297233159,0.294698480238096,0.654103393381386,"",2.88720701187905
1,"primary","common",19,NA,"EzGP",0.592377302648746,0.415986280592683,0.894736842105263,1.66182828777429,0.30451536971907,0.616905729927137,"",2.74630496270329
1,"primary","rare",30,NA,"EzGP",0.557957751486433,0.41486964802288,0.833333333333333,1.41582109675043,0.302893764691869,0.736715295997448,"",3.34091394839031
1,"primary","unobserved",11,NA,"EzGP",0.462009747962367,0.375760324412573,1,1.89320072451556,0.255391258987939,0.493048714031281,"",1.89320072451556
1,"primary","overall",60,6,"EIV-GP",0.342857253659364,0.275509589210025,0.916666666666667,1.18468435227287,0.194611307033866,0.277066479385687,"",1.75363951225522
1,"primary","common",19,6,"EIV-GP",0.297375828860368,0.248480383747841,0.947368421052632,1.26602184016658,0.165336866171433,0.134425936809732,"",1.34470097945158
1,"primary","rare",30,6,"EIV-GP",0.368755352167077,0.306216186069404,0.933333333333333,1.17084681285684,0.212438919444433,0.347956668762084,"",1.74534400781404
1,"primary","unobserved",11,6,"EIV-GP",0.342906719682441,0.238451134482762,0.818181818181818,1.08193107159105,0.196555489221977,0.330108718263069,"",2.48261199011927
