"rep","scenario","n_calib","setting","value"
1,"primary",6,"preset","fast"
1,"primary",6,"theta_update_every","8"
1,"primary",6,"n_u_blocks_per_iter","1"
1,"primary",6,"u_block_size","11"
1,"primary",6,"global_u_every","50"
1,"primary",6,"joint_local_blocks_per_iter","1"
1,"primary",6,"joint_theta_every","1"
1,"primary",6,"joint_global_every","10"
1,"primary",6,"joint_collapsed_every","10"
1,"primary",6,"marginal_measurement_every","5"
1,"primary",6,"score_update_every","1"
1,"primary",6,"A_update_every","1"
1,"primary",6,"tau_update_every","1"
1,"primary",6,"theta_slice_width_init","0.80000000000000004;0.80000000000000004;0.80000000000000004;0.80000000000000004;0.80000000000000004"
1,"primary",6,"adapt_theta_width","TRUE"
1,"primary",6,"adapt_every","100"
1,"primary",6,"adapt_window","500"
1,"primary",6,"theta_width_min","0.14999999999999999"
1,"primary",6,"theta_width_max","2.5"
1,"primary",6,"tau_bound","6"
1,"primary",6,"s_A","2.5"
1,"primary",6,"max_ess_try","5000"
1,"primary",6,"sampler_strategy","interwoven"
1,"primary",6,"identification","lower_triangular"
1,"primary",6,"kernel","se"
1,"primary",6,"matern_nu","NA"
1,"primary",6,"n_iter","120"
1,"primary",6,"burn","40"
1,"primary",6,"thin","2"
1,"primary",6,"n_chains","1"
1,"primary",6,"saved_per_chain","40"
1,"primary",6,"parallel_backend","serial"
1,"primary",6,"parallel_cores","1"
1,"primary",6,"initialization_rule","threshold-compatible ordinal-score latent initialization with independent seeded perturbations; see fit_eivgp_ordprobit_fb()"
1,"primary",6,"chain_seeds","1021006"
1,"primary",6,"covariance_jitter","0"
1,"primary",6,"forms_explicit_covariance_inverse","FALSE"
1,"primary",6,"prospective_latent_sampler_requested","minimax_tilting"
1,"primary",6,"predictive_latent_sampler_used","minimax_tilting"
1,"primary",6,"mean_latent_sampler_used","minimax_tilting"
1,"primary",6,"diagnostic_gibbs_sweeps","100"
1,"primary",6,"rejection_max_batches","1000"
1,"primary",6,"predictive_seed","1012006"
1,"primary",6,"mean_seed","1012506"
1,"primary",6,"predictive_draws_requested","30"
1,"primary",6,"mean_evaluation_points","8"
1,"primary",6,"mean_posterior_draws_requested","12"
1,"primary",6,"mean_latent_integration_draws","16"
1,"primary",6,"mean_truth_latent_draws","100"
