"repeat_id","RID","fold"
1,21,1
1,69,2
1,89,1
1,120,1
1,127,1
1,200,1
1,205,2
1,210,3
1,214,2
1,269,3
1,303,3
1,311,2
1,337,1
1,377,2
1,378,2
1,408,2
1,413,3
1,420,1
1,467,3
1,553,3
1,626,2
1,679,1
1,702,2
1,731,3
1,907,2
1,934,1
1,1057,3
1,1169,2
1,1280,2
1,1418,3
1,1425,3
1,1427,1
1,2068,1
1,2119,1
1,2121,1
1,2123,2
1,2187,3
1,2190,3
1,2245,1
1,2374,2
1,2392,3
1,2394,2
1,2403,3
1,4014,1
1,4028,2
1,4037,2
1,4039,1
1,4041,1
1,4058,1
1,4071,1
1,4076,1
1,4084,3
1,4090,2
1,4092,2
1,4115,3
1,4121,1
1,4158,3
1,4164,1
1,4175,1
1,4179,2
1,4198,1
1,4200,2
1,4213,2
1,4218,2
1,4223,3
1,4225,2
1,4243,1
1,4254,1
1,4262,3
1,4263,1
1,4270,3
1,4275,1
1,4288,2
1,4327,3
1,4335,3
1,4350,1
1,4351,3
1,4356,3
1,4365,1
1,4366,1
1,4373,3
1,4385,2
1,4396,2
1,4401,3
1,4415,2
1,4424,3
1,4427,1
1,4428,3
1,4429,3
1,4441,3
1,4448,1
1,4464,3
1,4469,3
1,4474,2
1,4488,2
1,4489,2
1,4500,1
1,4506,3
1,4512,1
1,4526,1
1,4546,1
1,4556,3
1,4566,1
1,4568,1
1,4577,2
1,4579,1
1,4585,3
1,4598,3
1,4604,2
1,4615,2
1,4631,1
1,4637,3
1,4638,2
1,4649,1
1,4652,3
1,4659,2
1,4675,2
1,4706,2
1,4713,2
1,4721,1
1,4722,3
1,4723,2
1,4742,1
1,4744,1
1,4765,3
1,4770,3
1,4785,1
1,4795,2
1,4796,2
1,4802,2
1,4805,2
1,4827,1
1,4869,3
1,4872,3
1,4876,3
1,4892,3
1,4900,1
1,4910,3
1,4921,2
1,4936,2
1,4938,3
1,4962,3
1,5029,2
1,5057,3
1,5058,3
1,5075,3
1,5079,1
1,5083,1
1,5093,2
1,5096,2
1,5100,1
1,5113,2
1,5126,3
1,5127,3
1,5130,2
1,5132,2
1,5154,1
1,5166,2
1,5167,1
1,5169,3
1,5175,1
1,5178,2
1,5198,1
1,5207,1
1,5218,2
1,5219,2
1,5222,3
1,5227,3
1,5234,2
1,5237,2
1,5242,2
1,5243,2
1,5253,3
1,5258,1
1,5265,3
1,5269,2
1,5273,1
1,5277,1
1,5292,3
1,6007,1
1,6008,3
1,6009,2
1,6014,3
1,6016,3
1,6025,2
1,6030,1
1,6039,1
1,6049,3
1,6051,1
1,6053,2
1,6056,3
1,6057,1
1,6059,3
1,6062,3
1,6063,1
1,6065,3
1,6067,2
1,6073,3
1,6085,1
1,6088,2
1,6097,1
1,6103,2
1,6113,2
1,6118,3
1,6133,3
1,6134,2
1,6142,2
1,6146,2
1,6151,1
1,6157,2
1,6175,3
1,6179,1
1,6180,1
