rep_id,rep_tag,calib_seed,mcmc_seed,n10_by_class,n25_by_class,n50_by_class,c10_source_rows,c10_equals_confirmatory,design_dir
1,rep01,2026081301,2026081401,1/2/2/2/1/2,2/5/4/6/3/5,3/10/7/12/7/11,273;700;1095;1815;2078;5646;5786;5787;6896;7017,FALSE,rep01_seed2026081301
2,rep02,2026081302,2026081402,1/2/2/2/1/2,2/5/4/6/3/5,3/10/7/12/7/11,2420;2486;2847;3295;5787;6075;6298;6301;7040;7458,FALSE,rep02_seed2026081302
3,rep03,2026081303,2026081403,1/2/2/2/1/2,2/5/4/6/3/5,3/10/7/12/7/11,2275;2540;2586;3091;3453;3598;4591;4615;6649;7017,FALSE,rep03_seed2026081303
4,rep04,2026081304,2026081404,1/2/2/2/1/2,2/5/4/6/3/5,3/10/7/12/7/11,1815;2420;2487;2777;3453;5771;5875;5967;6436;7168,FALSE,rep04_seed2026081304
5,rep05,2026081305,2026081405,1/2/2/2/1/2,2/5/4/6/3/5,3/10/7/12/7/11,2486;2656;2915;3295;3598;5646;6008;6649;6720;7040,FALSE,rep05_seed2026081305
6,rep06,2026081306,2026081406,1/2/2/2/1/2,2/5/4/6/3/5,3/10/7/12/7/11,297;1815;2420;2487;2762;3453;3598;4592;4615;6075,FALSE,rep06_seed2026081306
7,rep07,2026081307,2026081407,1/2/2/2/1/2,2/5/4/6/3/5,3/10/7/12/7/11,1847;2777;3367;4591;5640;6301;6720;6758;6797;7168,FALSE,rep07_seed2026081307
8,rep08,2026081308,2026081408,1/2/2/2/1/2,2/5/4/6/3/5,3/10/7/12/7/11,322;483;2486;2656;2762;2963;4295;5646;6436;7465,FALSE,rep08_seed2026081308
9,rep09,2026081309,2026081409,1/2/2/2/1/2,2/5/4/6/3/5,3/10/7/12/7/11,700;2078;2672;2847;2915;6075;6211;6599;7017;7465,FALSE,rep09_seed2026081309
10,rep10,2026081310,2026081410,1/2/2/2/1/2,2/5/4/6/3/5,3/10/7/12/7/11,273;607;1608;2276;2672;2762;4591;4615;6075;7017,FALSE,rep10_seed2026081310
