"source_row","record_key","cruise","station","survey","date","event","depth_id","bottle","depth_m","longitude","latitude","NO3_NO2_uM","H2PO4_uM","SiO2_uM","x_temperature","x_salinity","consensus_outlier","c","c0","y","u_raw_std","u_log_std"
17,"ECOHAB_1|22","ECOHAB_1","CB01","Survey_1",20030604,"CTD003",22,6,0,-124.37,47.3,9.3,1.14,17.2,10.93,31.86,FALSE,4,3,9.3,0.116644433852076,0.399030206009952
18,"ECOHAB_1|21","ECOHAB_1","CB01","Survey_1",20030604,"CTD003",21,5,5,-124.37,47.3,10.3,1.23,18.4,10.87,31.86,FALSE,5,4,10.3,0.25837454309839,0.503695349789541
19,"ECOHAB_1|20","ECOHAB_1","CB01","Survey_1",20030604,"CTD003",20,4,6,-124.37,47.3,11.3,1.29,19.4,10.66,31.86,FALSE,5,4,11.3,0.352861282595934,0.56929957554222
20,"ECOHAB_1|19","ECOHAB_1","CB01","Survey_1",20030604,"CTD003",19,3,10,-124.37,47.3,16.8,1.76,27.6,9.38,32.26,FALSE,6,5,16.8,1.09300740866002,0.997227437426333
25,"ECOHAB_1|27","ECOHAB_1","CB02","Survey_1",20030604,"CTD004",27,5,10,-124.47,47.27,6.5,0.59,13.8,10.95,31.71,FALSE,3,2,6.5,-0.74948401154207,-0.508228145948082
49,"ECOHAB_1|60","ECOHAB_1","CB06","Survey_1",20030604,"CTD008",60,7,10,-125.03,47.13,0.1,0.18,3,13.18,31.02,FALSE,1,0,0.1,-1.39514339810862,-2.14346383843625
86,"ECOHAB_1|107","ECOHAB_1","KB02","Survey_1",20030604,"CTD015",107,6,0,-124.64,47.53,6.4,0.83,9.4,11.19,31.36,FALSE,4,3,6.4,-0.371537053551898,-0.0381074861861789
87,"ECOHAB_1|106","ECOHAB_1","KB02","Survey_1",20030604,"CTD015",106,5,5,-124.64,47.53,8,0.88,10.8,10.91,31.43,FALSE,4,3,8,-0.292798103970611,0.0424668482712623
88,"ECOHAB_1|105","ECOHAB_1","KB02","Survey_1",20030604,"CTD015",105,4,10,-124.64,47.53,14.6,1.32,18.9,10.46,31.54,FALSE,5,4,14.6,0.400104652344705,0.600965990093417
91,"ECOHAB_1|112","ECOHAB_1","KB01","Survey_1",20030604,"CTD016",112,5,0,-124.5,47.58,19.8,1.72,28.6,9.47,32.3,FALSE,6,5,19.8,1.03001624899499,0.965561022875136
92,"ECOHAB_1|111","ECOHAB_1","KB01","Survey_1",20030604,"CTD016",111,4,5,-124.5,47.58,23.7,1.94,33,9.09,32.44,FALSE,6,5,23.7,1.37646762715265,1.13135337318799
93,"ECOHAB_1|110","ECOHAB_1","KB01","Survey_1",20030604,"CTD016",110,3,10,-124.5,47.58,28.7,2.21,40.3,7.63,33.28,FALSE,6,5,28.7,1.8016579548916,1.31083854634107
96,"ECOHAB_1|156","ECOHAB_1","LP01","Survey_1",20030605,"CTD019",156,6,0,-124.68,47.82,5.5,0.68,21.1,11.12,31.86,FALSE,3,2,5.5,-0.607753902295755,-0.312674280774001
97,"ECOHAB_1|155","ECOHAB_1","LP01","Survey_1",20030605,"CTD019",155,5,5,-124.68,47.82,17.2,1.4,35.4,9.42,32.09,FALSE,5,4,17.2,0.526086971674763,0.68201456396584
98,"ECOHAB_1|154","ECOHAB_1","LP01","Survey_1",20030605,"CTD019",154,4,7,-124.68,47.82,16.6,1.35,34.8,9.61,32.06,FALSE,5,4,16.6,0.447348022093477,0.631920739236269
99,"ECOHAB_1|153","ECOHAB_1","LP01","Survey_1",20030605,"CTD019",153,3,10,-124.68,47.82,20.7,1.59,39.6,9.01,32.23,FALSE,5,4,20.7,0.82529498008365,0.85730854926359
104,"ECOHAB_1|162","ECOHAB_1","LP02","Survey_1",20030605,"CTD020",162,6,7,-124.8,47.77,0.6,0.44,6.1,12.42,31.42,FALSE,2,1,0.6,-0.985700860285928,-0.912293740883808
105,"ECOHAB_1|161","ECOHAB_1","LP02","Survey_1",20030605,"CTD020",161,5,10,-124.8,47.77,3,0.61,7.1,10.85,32,FALSE,3,2,3,-0.717988431709556,-0.462309615010259
116,"ECOHAB_1|178","ECOHAB_1","LP04","Survey_1",20030605,"CTD022",178,6,10,-125.06,47.66,1.3,0.32,5.2,13.75,31.18,FALSE,2,1,1.3,-1.17467433928101,-1.35094094377042
168,"ECOHAB_1|250","ECOHAB_1","OZ04","Survey_1",20030605,"CTD032",250,9,5,-125.1,47.89,0.9,0.34,3.5,13.26,31.56,FALSE,2,1,0.9,-1.1431787594485,-1.26743486992907
169,"ECOHAB_1|248","ECOHAB_1","OZ04","Survey_1",20030605,"CTD032",248,8,10,-125.1,47.89,2.3,0.48,5.3,12.96,31.6,FALSE,3,2,2.3,-0.9227097006209,-0.792441801948267
180,"ECOHAB_1|260","ECOHAB_1","OZ02","Survey_1",20030605,"CTD034",260,5,5,-124.86,48.01,2.8,0.46,16.1,11.23,31.92,FALSE,3,2,2.8,-0.954205280453414,-0.851064622146247
181,"ECOHAB_1|259","ECOHAB_1","OZ02","Survey_1",20030605,"CTD034",259,4,10,-124.86,48.01,14.3,1.2,24.5,10.41,32.03,FALSE,4,3,14.3,0.211131173349619,0.469683044747031
185,"ECOHAB_1|267","ECOHAB_1","OZ01","Survey_1",20030605,"CTD035",267,6,0,-124.73,48.06,23,1.71,31.5,9.19,32.83,FALSE,6,5,23,1.01426845907874,0.957529347832107
186,"ECOHAB_1|266","ECOHAB_1","OZ01","Survey_1",20030605,"CTD035",266,5,5,-124.73,48.06,26.6,1.96,NA,8.2,33.02,FALSE,6,5,26.6,1.40796320698517,1.14548096746658
187,"ECOHAB_1|265","ECOHAB_1","OZ01","Survey_1",20030605,"CTD035",265,4,10,-124.73,48.06,28.4,2.19,36.7,7.9,33.16,FALSE,6,5,28.4,1.77016237505908,1.29831638403426
189,"ECOHAB_1|273","ECOHAB_1","CF01","Survey_1",20030605,"CTD036",273,6,0,-124.74,48.28,9.4,0.92,28.3,11.74,32.34,FALSE,4,3,9.4,-0.229806944305583,0.103695967008823
190,"ECOHAB_1|272","ECOHAB_1","CF01","Survey_1",20030605,"CTD036",272,5,3,-124.74,48.28,13.5,1.18,34.7,10.32,32.53,FALSE,4,3,13.5,0.179635593517104,0.446532443206988
191,"ECOHAB_1|271","ECOHAB_1","CF01","Survey_1",20030605,"CTD036",271,4,5,-124.74,48.28,20.4,1.58,43.4,9.62,32.51,FALSE,5,4,20.4,0.809547190167393,0.848618120643258
192,"ECOHAB_1|270","ECOHAB_1","CF01","Survey_1",20030605,"CTD036",270,3,10,-124.74,48.28,28.9,2.11,53,8.02,33.13,FALSE,6,5,28.9,1.64418005572902,1.24705732078903
195,"ECOHAB_1|279","ECOHAB_1","CF02","Survey_1",20030605,"CTD037",279,6,0,-124.87,48.22,3.8,0.68,29.2,11.45,31.89,FALSE,3,2,3.8,-0.607753902295755,-0.312674280774001
196,"ECOHAB_1|278","ECOHAB_1","CF02","Survey_1",20030605,"CTD037",278,5,5,-124.87,48.22,17.1,1.33,36,9.75,32.22,FALSE,5,4,17.1,0.415852442260963,0.611361725228762
197,"ECOHAB_1|277","ECOHAB_1","CF02","Survey_1",20030605,"CTD037",277,4,10,-124.87,48.22,22.2,1.72,42.7,9.29,32.34,FALSE,6,5,22.2,1.03001624899499,0.965561022875136
205,"ECOHAB_1|313","ECOHAB_1","CF04","Survey_1",20030606,"CTD040",313,9,0,-125.13,48.08,1.1,0.25,5.9,13.41,31.19,FALSE,1,0,1.1,-1.28490886869482,-1.69097301784504
206,"ECOHAB_1|312","ECOHAB_1","CF04","Survey_1",20030606,"CTD040",312,8,5,-125.13,48.08,10.6,0.91,22.4,10.73,31.42,FALSE,4,3,10.6,-0.24555473422184,0.088641955230543
249,"ECOHAB_1|364","ECOHAB_1","LA10","Survey_1",20030606,"CTD047",364,8,10,-125.72,47.98,0.1,0.26,2.9,12.85,31.65,FALSE,1,0,0.1,-1.26916107877856,-1.63694929496549
273,"ECOHAB_1|393","ECOHAB_1","LA06","Survey_1",20030606,"CTD051",393,10,0,-125.29,48.21,1.5,0.3,6.1,12.9,31.17,FALSE,2,1,1.5,-1.20616991911353,-1.43983813356311
274,"ECOHAB_1|392","ECOHAB_1","LA06","Survey_1",20030606,"CTD051",392,9,5,-125.29,48.21,2.9,0.44,8.6,12.64,31.16,FALSE,2,1,2.9,-0.985700860285928,-0.912293740883808
275,"ECOHAB_1|391","ECOHAB_1","LA06","Survey_1",20030606,"CTD051",391,8,10,-125.29,48.21,9.3,0.85,20.1,11.3,31.32,FALSE,4,3,9.3,-0.340041473719383,-0.00531002323377337
284,"ECOHAB_1|405","ECOHAB_1","LA04","Survey_1",20030606,"CTD053",405,9,0,-125.07,48.32,20.3,1.56,45,10.07,32.28,FALSE,5,4,20.3,0.778051610334878,0.831071025166804
285,"ECOHAB_1|404","ECOHAB_1","LA04","Survey_1",20030606,"CTD053",404,8,5,-125.07,48.32,21.4,1.65,46.3,9.4,32.44,FALSE,5,4,21.4,0.919781719581193,0.908330247633644
286,"ECOHAB_1|403","ECOHAB_1","LA04","Survey_1",20030606,"CTD053",403,7,8,-125.07,48.32,24.2,1.81,47.6,8.85,32.58,FALSE,6,5,24.2,1.17174635824131,1.03581338817802
287,"ECOHAB_1|402","ECOHAB_1","LA04","Survey_1",20030606,"CTD053",402,6,10,-125.07,48.32,26.4,1.96,49.1,8.53,32.69,FALSE,6,5,26.4,1.40796320698517,1.14548096746658
296,"ECOHAB_1|419","ECOHAB_1","LA02","Survey_1",20030606,"CTD055",419,9,0,-124.86,48.44,27.5,2.07,42.1,10.16,31.74,FALSE,6,5,27.5,1.581188896064,1.22069425065313
297,"ECOHAB_1|418","ECOHAB_1","LA02","Survey_1",20030606,"CTD055",418,8,5,-124.86,48.44,26.6,2.02,41.5,9.47,31.91,FALSE,6,5,26.6,1.50244994648271,1.18701461760046
298,"ECOHAB_1|417","ECOHAB_1","LA02","Survey_1",20030606,"CTD055",417,7,10,-124.86,48.44,27.6,2.1,42.7,9.13,32.26,FALSE,6,5,27.6,1.62843226581277,1.24051370578799
305,"ECOHAB_1|429","ECOHAB_1","LA01","Survey_1",20030606,"CTD056",429,10,0,-124.73,48.49,25,1.91,40,11.16,31.69,FALSE,6,5,25,1.32922425740388,1.10988652259025
306,"ECOHAB_1|428","ECOHAB_1","LA01","Survey_1",20030606,"CTD056",428,9,5,-124.73,48.49,25.5,1.95,40.3,10,31.69,FALSE,6,5,25.5,1.39221541706891,1.13843528270703
307,"ECOHAB_1|426","ECOHAB_1","LA01","Survey_1",20030606,"CTD056",426,8,10,-124.73,48.49,25.9,2.01,40.4,9.74,31.68,FALSE,6,5,25.9,1.48670215656645,1.18017873078012
314,"ECOHAB_1|454","ECOHAB_1","LAB01","Survey_1",20030607,"CTD057",454,8,0,-124.83,48.59,19.8,1.54,35.3,11.33,31.49,FALSE,5,4,19.8,0.746556030502364,0.813297509312226
315,"ECOHAB_1|453","ECOHAB_1","LAB01","Survey_1",20030607,"CTD057",453,7,5,-124.83,48.59,20.2,1.56,35.2,11.17,31.49,FALSE,5,4,20.2,0.778051610334878,0.831071025166804
316,"ECOHAB_1|452","ECOHAB_1","LAB01","Survey_1",20030607,"CTD057",452,6,10,-124.83,48.59,21.1,1.64,35.9,10.99,31.5,FALSE,5,4,21.1,0.904033929664936,0.899956797122457
322,"ECOHAB_1|461","ECOHAB_1","LAB02","Survey_1",20030607,"CTD058",461,7,0,-124.97,48.53,24.6,1.83,39.4,10.27,31.61,FALSE,6,5,24.6,1.20324193807382,1.05095011596697
323,"ECOHAB_1|460","ECOHAB_1","LAB02","Survey_1",20030607,"CTD058",460,6,5,-124.97,48.53,24.9,1.83,39.8,10.01,31.62,FALSE,6,5,24.9,1.20324193807382,1.05095011596697
324,"ECOHAB_1|459","ECOHAB_1","LAB02","Survey_1",20030607,"CTD058",459,5,10,-124.97,48.53,25.2,1.85,40,9.79,31.62,FALSE,6,5,25.2,1.23473751790634,1.06592231084836
332,"ECOHAB_1|476","ECOHAB_1","LAB04","Survey_1",20030607,"CTD060",476,7,0,-125.21,48.39,20,1.56,34.5,12.24,31.51,FALSE,5,4,20,0.778051610334878,0.831071025166804
333,"ECOHAB_1|475","ECOHAB_1","LAB04","Survey_1",20030607,"CTD060",475,6,5,-125.21,48.39,22.2,1.71,35,11.15,31.54,FALSE,6,5,22.2,1.01426845907874,0.957529347832107
334,"ECOHAB_1|474","ECOHAB_1","LAB04","Survey_1",20030607,"CTD060",474,5,10,-125.21,48.39,24.9,1.91,36.2,9.88,31.62,FALSE,6,5,24.9,1.32922425740388,1.10988652259025
384,"ECOHAB_1|530","ECOHAB_1","LB14","Survey_1",20030607,"CTD068",530,6,10,-126,48.14,1.7,0.45,5.4,13.01,31.69,FALSE,3,2,1.7,-0.969953070369671,-0.881338991740956
396,"ECOHAB_1|543","ECOHAB_1","LB11","Survey_1",20030607,"CTD070",543,6,10,-125.8,48.25,1.7,0.35,3.4,12.93,31.09,FALSE,2,1,1.7,-1.12743096953224,-1.2275066143443
415,"ECOHAB_1|575","ECOHAB_1","LB07","Survey_1",20030607,"CTD074",575,7,5,-125.37,48.48,3.2,0.23,6.6,13.14,31.22,FALSE,1,0,3.2,-1.31640444852733,-1.80582521130132
416,"ECOHAB_1|574","ECOHAB_1","LB07","Survey_1",20030607,"CTD074",574,6,10,-125.37,48.48,9.7,0.95,13.3,10.68,31.51,FALSE,4,3,9.7,-0.182563574556811,0.147895321728025
429,"ECOHAB_1|611","ECOHAB_1","LB03","Survey_1",20030608,"CTD077",611,6,0,-125.09,48.62,0.3,0.28,6.5,11.97,31.37,FALSE,1,0,0.3,-1.23766549894604,-1.53487087188453
430,"ECOHAB_1|610","ECOHAB_1","LB03","Survey_1",20030608,"CTD077",610,5,5,-125.09,48.62,3.8,0.55,13.9,11.77,31.39,FALSE,3,2,3.8,-0.812475171207099,-0.604929483343581
431,"ECOHAB_1|609","ECOHAB_1","LB03","Survey_1",20030608,"CTD077",609,4,10,-125.09,48.62,12.2,1.19,30.3,10.96,31.41,FALSE,4,3,12.2,0.195383383433362,0.458156380266963
437,"ECOHAB_1|614","ECOHAB_1","LB01","Survey_1",20030608,"CTD078",614,3,10,-124.99,48.67,0.1,0.17,5,11.97,31.44,FALSE,1,0,0.1,-1.41089118802487,-2.22219545908414
441,"ECOHAB_1|621","ECOHAB_1","LBC01","Survey_1",20030608,"CTD079",621,5,5,-125.25,48.73,2.2,0.21,7.8,12.15,31.3,FALSE,1,0,2.2,-1.34790002835984,-1.93113231921744
442,"ECOHAB_1|620","ECOHAB_1","LBC01","Survey_1",20030608,"CTD079",620,4,9,-125.25,48.73,8.7,0.79,17.8,10.82,31.45,FALSE,4,3,8.7,-0.434528213216926,-0.106142468511812
448,"ECOHAB_1|627","ECOHAB_1","LBC02","Survey_1",20030608,"CTD080",627,5,10,-125.38,48.67,1.1,0.36,7,11.45,31.33,FALSE,2,1,1.1,-1.11168317961599,-1.18870324928118
458,"ECOHAB_1|642","ECOHAB_1","LBC04","Survey_1",20030608,"CTD082",642,8,5,-125.63,48.54,0.1,0.13,2.5,13.84,31.11,FALSE,1,0,0.1,-1.4738823476899,-2.59170988412056
459,"ECOHAB_1|641","ECOHAB_1","LBC04","Survey_1",20030608,"CTD082",641,7,10,-125.63,48.54,1,0.29,3.9,12.93,31.3,FALSE,2,1,1,-1.22191770902979,-1.48653509253364
471,"ECOHAB_1|651","ECOHAB_1","LBC06","Survey_1",20030608,"CTD084",651,5,10,-125.88,48.41,0.5,0.31,3.9,12.86,31.43,FALSE,2,1,0.5,-1.19042212919727,-1.39467250145092
483,"ECOHAB_1|664","ECOHAB_1","LC01","Survey_1",20030608,"CTD086",664,6,10,-125.46,48.84,9.8,1.04,15.1,10.56,31.43,FALSE,4,3,9.8,-0.0408334653104962,0.272571883344649
491,"ECOHAB_1|684","ECOHAB_1","LC03","Survey_1",20030609,"CTD087",684,6,10,-125.57,48.78,9.3,1.15,15.1,9.78,31.72,FALSE,4,3,9.3,0.132392223768333,0.411060224549051
503,"ECOHAB_1|695","ECOHAB_1","LC05","Survey_1",20030609,"CTD089",695,5,10,-125.79,48.67,0.2,0.22,3.3,12.47,31.31,FALSE,1,0,0.2,-1.33215223844359,-1.86705433003888
514,"ECOHAB_1|706","ECOHAB_1","LC07","Survey_1",20030609,"CTD091",706,5,10,-126,48.55,1.1,0.23,3.9,13.11,31.25,FALSE,1,0,1.1,-1.31640444852733,-1.80582521130132
523,"ECOHAB_1|722","ECOHAB_1","LC09","Survey_1",20030609,"CTD093",722,10,0,-126.22,48.43,0.8,0.22,3.7,12.52,31.27,FALSE,1,0,0.8,-1.33215223844359,-1.86705433003888
524,"ECOHAB_1|721","ECOHAB_1","LC09","Survey_1",20030609,"CTD093",721,9,5,-126.22,48.43,0.8,0.22,3.7,12.54,31.26,FALSE,1,0,0.8,-1.33215223844359,-1.86705433003888
525,"ECOHAB_1|720","ECOHAB_1","LC09","Survey_1",20030609,"CTD093",720,8,10,-126.22,48.43,1.2,0.27,4.4,12.54,31.27,FALSE,1,0,1.2,-1.2534132888623,-1.5849646966141
550,"ECOHAB_1|783","ECOHAB_1","LAB04",NA,20030610,"CTD100",783,8,0,-125.28,48.36,7.9,0.58,25.6,11.07,32.07,FALSE,3,2,7.9,-0.765231801458328,-0.531774503378568
551,"ECOHAB_1|782","ECOHAB_1","LAB04",NA,20030610,"CTD100",782,7,5,-125.28,48.36,9.1,0.64,26.4,11.05,32.05,FALSE,3,2,9.1,-0.670745061960784,-0.396180354615351
552,"ECOHAB_1|781","ECOHAB_1","LAB04",NA,20030610,"CTD100",781,6,10,-125.28,48.36,13.3,0.89,30.6,10.21,32.32,FALSE,4,3,13.3,-0.277050314054354,0.0580311762148897
580,"ECOHAB_1|826","ECOHAB_1","DA07",NA,20030611,"CTD106",826,6,10,-125.26,48.19,1,0.39,5,11.12,31.87,FALSE,2,1,1,-1.06443980986721,-1.07845015314334
591,"ECOHAB_1|856","ECOHAB_1","DA10",NA,20030611,"CTD109",856,7,10,-125.2,48.18,2,0.53,4.8,10.97,31.91,FALSE,3,2,2,-0.843970751039613,-0.655951181713635
599,"ECOHAB_1|864","ECOHAB_1","LAB05",NA,20030611,"CTD110",864,6,5,-125.34,48.33,2.3,0.33,4.4,12.17,31.5,FALSE,2,1,2.3,-1.15892654936476,-1.30855518821672
600,"ECOHAB_1|863","ECOHAB_1","LAB05",NA,20030611,"CTD110",863,5,10,-125.34,48.33,5.3,0.64,8.1,10.55,31.9,FALSE,3,2,5.3,-0.670745061960784,-0.396180354615351
605,"ECOHAB_1|890","ECOHAB_1","DB01",NA,20030612,"CTD112",890,7,0,-125.34,48.33,2,0.28,3.1,11.93,31.59,FALSE,1,0,2,-1.23766549894604,-1.53487087188453
606,"ECOHAB_1|889","ECOHAB_1","DB01",NA,20030612,"CTD112",889,6,5,-125.34,48.33,6.1,0.66,7.3,10.99,31.8,FALSE,3,2,6.1,-0.63924948212827,-0.353794599061654
607,"ECOHAB_1|888","ECOHAB_1","DB01",NA,20030612,"CTD112",888,5,10,-125.34,48.33,9.1,0.91,9,9.58,32.15,FALSE,4,3,9.1,-0.24555473422184,0.088641955230543
620,"ECOHAB_1|908","ECOHAB_1","DB02",NA,20030612,"CTD114",908,8,0,-125.34,48.31,0.3,0.11,1.2,11.88,31.55,FALSE,1,0,0.3,-1.50537792752242,-2.82181491919395
621,"ECOHAB_1|907","ECOHAB_1","DB02",NA,20030612,"CTD114",907,7,5,-125.34,48.31,0.8,0.16,2.6,11.79,31.57,FALSE,1,0,0.8,-1.42663897794113,-2.30570153292549
622,"ECOHAB_1|906","ECOHAB_1","DB02",NA,20030612,"CTD114",906,6,10,-125.34,48.31,1.9,0.35,3.6,11.41,31.67,FALSE,2,1,1.9,-1.12743096953224,-1.2275066143443
629,"ECOHAB_1|916","ECOHAB_1","DA12",NA,20030612,"CTD115",916,8,5,-125.1,48.13,0.2,0.28,3,12.27,31.65,FALSE,1,0,0.2,-1.23766549894604,-1.53487087188453
630,"ECOHAB_1|915","ECOHAB_1","DA12",NA,20030612,"CTD115",915,7,10,-125.1,48.13,1.1,0.36,4.2,11.31,31.85,FALSE,2,1,1.1,-1.11168317961599,-1.18870324928118
637,"ECOHAB_1|929","ECOHAB_1","DB03",NA,20030613,"CTD116",929,8,0,-125.28,48.35,12,0.97,19.6,10.9,31.63,FALSE,4,3,12,-0.151067994724297,0.176592784032924
