"source_row","record_key","cruise","station","survey","date","event","depth_id","bottle","depth_m","longitude","latitude","NO3_NO2_uM","H2PO4_uM","SiO2_uM","x_temperature","x_salinity","consensus_outlier","c","c0","y","u_raw_std","u_log_std","split","calib_10","calib_25","calib_50","calib_10_random_existing","sample_row_id"
1095,"ECOHAB_1|1472","ECOHAB_1","LP04","Survey_3",20030618,"CTD185",1472,6,10,-125.06,47.66,0.1,0.23,2.2,12.53,31.59,FALSE,1,0,0.1,-1.31640444852733,-1.80582521130132,"train",1,1,1,1,1
2656,"ECOHAB_3|3353","ECOHAB_3","GH04","Survey_1",20040910,"CTD014",3353,7,5,-124.63,46.98,0.7,0.18,16.5,16.7,31.45,FALSE,1,0,0.7,-1.39514339810862,-2.14346383843625,"train",0,1,1,0,2
2847,"ECOHAB_3|3480","ECOHAB_3","OZ04","Survey_1",20040912,"CTD045",3480,7,10,-125.1,47.89,0.7,0.24,9.6,13.2,32.2,FALSE,1,0,0.7,-1.30065665861107,-1.74720239110334,"train",0,0,1,0,3
4615,"ECOHAB_4|6163","ECOHAB_4","OZ06","Survey_2",20050720,"CTD127",6163,10,5,-125.35,47.78,0.4,0.14,6.4,15.01,31.49,FALSE,1,0,0.4,-1.45813455777364,-2.4896314610396,"train",0,0,0,0,4
5640,"ECOHAB_5|7251","ECOHAB_5","DA26",NA,20050913,"CTD084",7251,4,0,-124.13,46.58,0.5,0.28,16,13.61,32.29,FALSE,1,0,0.5,-1.23766549894604,-1.53487087188453,"train",0,0,0,0,5
5771,"ECOHAB_5|7331","ECOHAB_5","CB02","Survey_2",20050915,"CTD111",7331,16,0,-124.47,47.27,0.9,0.19,12.1,13.21,32.69,FALSE,1,0,0.9,-1.37939560819236,-2.06899011412234,"train",0,0,0,0,6
273,"ECOHAB_1|393","ECOHAB_1","LA06","Survey_1",20030606,"CTD051",393,10,0,-125.29,48.21,1.5,0.3,6.1,12.9,31.17,FALSE,2,1,1.5,-1.20616991911353,-1.43983813356311,"train",0,1,1,0,7
1413,"ECOHAB_2|1930","ECOHAB_2","CB02","Survey_1",20030901,"CTD004",1930,5,5,-124.47,47.27,2.3,0.35,11.5,11,32.96,FALSE,2,1,2.3,-1.12743096953224,-1.2275066143443,"train",0,0,1,0,8
2078,"ECOHAB_2|2449","ECOHAB_2","CF01","Survey_2",20030911,"CTD132",2449,3,10,-124.74,48.28,2.7,0.39,18.7,12.4,32.43,FALSE,2,1,2.7,-1.06443980986721,-1.07845015314334,"train",0,0,0,0,9
2245,"ECOHAB_2|2575","ECOHAB_2","KB06","Survey_3",20030913,"CTD163",2575,7,10,-125.21,47.33,0.1,0.36,3.7,15.6,31.97,FALSE,2,1,0.1,-1.11168317961599,-1.18870324928118,"train",1,1,1,1,10
2305,"ECOHAB_2|2622","ECOHAB_2","DE01","Survey_3",20030914,"CTD176",2622,8,0,-125.07,47.28,0.8,0.39,5.9,15,31.94,FALSE,2,1,0.8,-1.06443980986721,-1.07845015314334,"train",0,0,0,0,11
2319,"ECOHAB_2|2633","ECOHAB_2","DE04","Survey_3",20030915,"CTD179",2633,7,5,-125.13,47.16,0.7,0.41,4.9,14.7,31.98,FALSE,2,1,0.7,-1.0329442300347,-1.00956438118768,"train",0,0,0,0,12
2329,"ECOHAB_2|2641","ECOHAB_2","GH06","Survey_3",20030915,"CTD181",2641,9,0,-124.92,46.91,1.9,0.4,16.4,14.3,32.01,FALSE,2,1,1.9,-1.04869201995096,-1.04357668623019,"train",0,0,0,0,13
